,更多专辑-下拉引导文案,,,favorites_des1,No favorite songs yet,لا توجد اى اغنية مفضلة,当前没有收藏任何歌曲哦,當前沒有收藏任何歌曲哦,Nog geen favoriete nummers,Wala pang paboritong kanta,Ei vielä suosikki kappaleita,Aucun morceau favori,Keine Favoriten-Lieder,अभी तक कोई पसंदीदा गाने नहीं,Sekarang tiada lagu yang disimpan,Non hai ancora raccolto nessuna canzone,아직 좋아하는 노래가 없습니다,お気に入りの中で今は何もないよ,Nessuna canzone preferita ancora,Nessuna canzone preferita ancora,Nie ma jeszcze ulubionych piosenek,Ainda não adicionou nada em favoritos,Ainda não adicionou nada em favoritos,Нет сохранненых песен,Sin ninguna canción favorita,Inga favoritlåtar än,ยังไม่มีเพลงโปรด,Şimdi favori şarkınız yoktur,Chưa có bài hát yêu thích
,未收藏状态toast文案-游客,,,favorites_des2,Regain your favourite songs by logging in FB,استرداد اغنية مفضلة اذا تسجيل دخول,登录可以找回收藏歌曲哦,登錄可以找回收藏歌曲哦,Keer je favoriete nummers terug door in te loggen in FB,Mababalik ang iyong mga paboritong kanta sa pamamagitan ng pag -log in sa FB,Palauta suosikki kappaleesi hakkuut FB: hen,Connectez-vous pour retrouver les favoris,"FB anmelden, um Lieder zurück zu finden",FB में लॉग इन करके अपने पसंदीदा गाने फिर से हासिल करें,Login untuk mencari lagu yang disimpan,Recupera canzoni in collezione con login FB,로그인로 데이터 연동 시킬 수 있습니다,早く登録して好きな曲を収集しろう！,Ritrova le tue canzoni preferite accedendo a FB,Ritrova le tue canzoni preferite accedendo a FB,"Odzyskaj swoje ulubione piosenki, logując się w FB",Faça login para recuperar dados em favoritos,Faça login para recuperar dados em favoritos,Через FB песни можно вернуть,Ingresar en FB y recuperarlas,Återfå dina favoritlåtar genom att logga in FB,ฟื้นเพลงโปรดของคุณโดยเข้าสู่ระบบ FB,Favoriler için facebook ile giriş yapın,Lấy lại các bài hát yêu thích của bạn bằng cách đăng nhập FB
,未收藏状态toast文案-FB用户,,,favorites_text1,Add to my favorites,إدراج الأغنية إلى علامة المفضلة,收藏这首歌曲,收藏這首歌曲,Voeg toe aan mijn favorieten,Idagdag sa aking mga paborito,Lisää suosikkeihini,Favoris,favorisiere das Lied,मेरे पसंदीदा मे जोड़ें,Pesan favorit,Aggiungila ai favoriti,뮤직 저장하기,この曲を収集する,Aggiungi ai miei preferiti,Aggiungi ai miei preferiti,Dodaj do ulubionych,"Coloque em ""Favoritos""","Coloque em ""Favoritos""",Сохранить песню,Guardarla,Lägg till mina favoriter,เพิ่มในรายการโปรดของฉัน,Favorilere ekle,Thêm vào mục yêu thích của tôi
,结果页收藏条-未收藏状态,,,favorites_text2,Added!,الإدراج إلى علامة المفضلة بنجاح!,收藏成功！,收藏成功！,Toegevoegd!,Idinagdag!,Lisätty!,Favori ajouté!,Erfolgreich favorisiert!,जोड़ा!,Berhasil disimpan!,Aggiungi successo!,저장 완료,収集成功！,Aggiunto!,Aggiunto!,Dodany!,Com sucesso!,Com sucesso!,Успешно сохранено!,¡Guardada!,Lagt till!,เพิ่ม!,Başarıyla eklendi!,Thêm!
,结果页收藏条-点击收藏成功状态,,,favorites_text3,Collected songs can be created playlist,يمكنك إنشاء قائمة الأغاني بعد حفظ الأغاني!,收藏的歌曲可以创建歌单啦,收藏的歌曲可以創建歌單啦,Verzamelde nummers kunnen worden gemaakt afspeellijst,Ang mga nakolekta na kanta ay maaaring malikha ng playlist,Kerätyt kappaleet voidaan luoda soittolista,Playlist à créer avec les favoris,Mit Liedersammlung Playlist erstellen,एकत्रित गाने को प्लेलिस्ट बनाया जा सकता है,Lagu disimpan bisa membuat daftar lagu,Crea la lista mettendo canzoni a favorito,좋아'한 음악은 리스트를 작성할 수 있어요,お気に入りの曲をプレイリストに入れよう,Le canzoni raccolte possono essere create playlist,Le canzoni raccolte possono essere create playlist,Zebrane piosenki można stworzyć listę odtwarzania,"Crie a lista com músicas em ""Favoritos""","Crie a lista com músicas em ""Favoritos""",Из сохраненных песен составьте плейлисты,¡Puedes guardar tus favoritas!,Samlade låtar kan skapas spellista,เพลงที่รวบรวมได้สามารถสร้างเพลย์ลิสต์,Eklenen şarkı ile liste yaratabilirsin,Các bài hát được thu thập có thể được tạo danh sách phát
,,,,favorites_guide_title,Brand new function,وظيفة ممتعة جديدة,有趣的新功能,有趣的新功能,Gloednieuwe functie,Bagong pag -andar ng tatak,Upouusi toiminto,Nouvelle fonction,Neue Funktion,एकदम नया समारोह,Fitur baru yang seru,Nuova funzione,재미있는 신기능,面白い新機能,Funzione nuova di zecca,Funzione nuova di zecca,Zupełnie nowa funkcja,Nova opção divertida,Nova opção divertida,Новая веселая функция,¡Nueva función!,Helt ny funktion,ฟังก์ชั่นใหม่เอี่ยม,Yeni özellikler,Chức năng hoàn toàn mới
,收藏引导,,,favorites_guide_content,Save your favorite songs!,تستطيع أن تحفظ الأغاني المفضلة!,你可以收藏喜欢的歌曲啦！,你可以收藏喜歡的歌曲啦!,Bewaar je favoriete nummers!,I -save ang iyong mga paboritong kanta!,Tallenna suosikkikappaleesi!,Enregistrez vos morceaux préférés!,Du kannst deine Lieblings-Lieder sammeln!,अपने पसंदीदा गीतों को बचाओ!,Pesan favorit lagu yang disukai!,Puoi aggiungere ai Favoriti le canzoni!,좋아하는 노래를 저장합시다!,お気に入り機能が追加されました！,Salva le tue canzoni preferite!,Salva le tue canzoni preferite!,Zapisz swoje ulubione piosenki!,"Pode colocar músicas em ""Favoritos""!","Pode colocar músicas em ""Favoritos""!",Ты можешь сохранять понравившиеся песни!,¡Puedes guardar tus canciones favoritas!,Spara dina favoritlåtar!,บันทึกเพลงโปรดของคุณ!,Sevdiğiniz şarkıyı favorilere ekleyin!,Lưu các bài hát yêu thích của bạn!
,,,,favorites_guide_button,Try now,تجريب,体验,體驗,Probeer nu,Subukan ngayon,Kokeile nyt,Essayer,Erfahren,अब कोशिश करो,Coba,Prova,해보기,体験,Prova ora,Prova ora,Spróbuj teraz,Tentar,Tentar,Начать,Probar,Försök nu,ลองตอนนี้,Deneyim,Thử ngay bây giờ
,,,,favorites_guide_1content,Click to add songs to favorites,"أنقر على زر ""قلب"" لحفظ الأغاني المفضلة",点击收藏你喜欢的歌曲,點擊收藏你喜歡的歌曲,Klik om nummers toe te voegen aan favorieten,Mag -click upang magdagdag ng mga kanta sa mga paborito,Napsauta lisätäksesi kappaleita suosikkeihin,Cliquez et ajoutez vos chansons dans favoris,"Klicke, um deine Lieblings-Lieder zu favorisieren",पसंदीदा में गाने जोड़ने के लिए क्लिक करें,Klik untuk pesan favorit lagu yang Anda sukai,Clicca ad aggiungere ai Favoriti,클릭하여 음악을 저장합니다,クリックして曲をお気に入り登録,Fare clic per aggiungere brani ai preferiti,Fare clic per aggiungere brani ai preferiti,"Kliknij, aby dodać utwory do ulubionych",Clique aqui para coletar as suas músicas favoritas do jogo,Clique aqui para coletar as suas músicas favoritas do jogo,"Нажми, чтобы сохранить понравившуюся песню",Tocar para guardar tus canciones favoritas,Klicka för att lägga till låtar i favoriter,คลิกเพื่อเพิ่มเพลงในรายการโปรด,Sevdiğiniz şarkı tıkla ve listeye ekle,Bấm để thêm bài hát vào mục yêu thích
,,,,favorites_guide_1button,Next step,خطوة تالية,下一步,下一步,Volgende stap,Susunod na hakbang,Seuraava askel,Suivant,weiter,अगला कदम,Berikutnya,Avanti,다음,次に,Passo successivo,Passo successivo,Następny krok,Próximo,Próximo,Дальше,Siguiente,Nästa steg,ขั้นตอนต่อไป,Sonraki,Bước tiếp theo
,,,,favorites_guide_2content,Review your favorite songs,مراجعة الأغاني في علامة المفضلة,查看已收藏歌曲,查看已收藏歌曲,Bekijk je favoriete nummers,Suriin ang iyong mga paboritong kanta,Tarkista suosikkikappaleesi,Consulter les chansons favorites,Favorisierte Lieder nachsehen,अपने पसंदीदा गीतों की समीक्षा करें,Melihat lagu yang sudah disimpan,Vedi i Favoriti,저장된 음악을 확인합니다,お気に入りをチェックする,Rivedi le tue canzoni preferite,Rivedi le tue canzoni preferite,Przejrzyj swoje ulubione piosenki,Verifique as suas músicas favoritas do jogo,Verifique as suas músicas favoritas do jogo,Смотреть сохраненные песни,Ver las favoritas guardadas,Granska dina favoritlåtar,ตรวจสอบเพลงโปรดของคุณ,Favoriler'e eklenen şarkı inceleyin,Xem lại các bài hát yêu thích của bạn
,,,,favorites_guide_2button,Finished,إكمال,完成,完成,Afgerond,Tapos na,Valmis,Terminé,Fertig,खत्म,OK,Finito,완료,完了,Finito,Finito,Skończone,Concluído,Concluído,Готово,Hecho,Färdiga,ที่เสร็จเรียบร้อย,Bitir,Hoàn thành
,,,,favorites_guide_diy_content,you can create your own playlist,إنشاء قائمة الأغاني الخاصة,你可以创建专属歌单啦,你可以創建專屬歌單啦,U kunt uw eigen afspeellijst maken,Maaari kang lumikha ng iyong sariling playlist,Voit luoda oman soittolistan,Créer votre playlist exclu,Deine Playlist erstellen,आप अपनी खुद की प्लेलिस्ट बना सकते हैं,Ciptakan daftar lagu Sendiri,Crea la tua lista canzoni,플레이리스트 작성하기,マイプレイリスト,Puoi creare la tua playlist,Puoi creare la tua playlist,Możesz stworzyć własną listę odtwarzania,Criar a lista de musicas,Criar a lista de musicas,Создайте личный плейлист,Crea tu álbum exclusivo,Du kan skapa din egen spellista,คุณสามารถสร้างเพลย์ลิสต์ของคุณเอง,Şarkı listesini oluştur,Bạn có thể tạo danh sách phát của riêng bạn
,专属歌单,卡片,有收藏行为,favorites_diy_txt,Create Playlist,إنشاء قائمة تشغيل,创建播放列表,建立播放列表,Afspeellijst maken,Gumawa ng playlist,Luo soittolista,Créer une playlist,Playlist erstellen,प्लेलिस्ट बनाएं,Buat daftar putar,Crea playlist,재생 목록 만들기,プレイリストを作成,Buat senarai main,Opprett spilleliste,Utwórz playlistę,Criar lista de reprodução,Criar playlist,Создать плейлист,Crear Lista de Reproducción,Skapa spellista,สร้างเพลย์ลิสต์,Çalma listesi oluştur,Tạo danh sách phát
,,,创建歌单卡片首次秀出玩家未创建过歌单（待编辑状态）-主标题,favorites_diy_txt14,Create a playlist from your favorited songs.,أنشئ قائمة تشغيل من الأغاني المفضلة لديك.,从你收藏的歌曲中创建播放列表。,從你收藏的歌曲中建立播放列表。,Maak een afspeellijst van je favoriete nummers.,Gumawa ng playlist mula sa mga paborito mong kanta.,Luo soittolista suosikkikappaleistasi.,Créez une playlist à partir de vos chansons favorites.,Erstelle eine Playlist aus deinen Lieblingssongs.,अपने पसंदीदा गानों से एक प्लेलिस्ट बनाएं।,Buat daftar putar dari lagu favorit Anda.,Crea una playlist dalle tue canzoni preferite.,즐겨찾는 노래로 재생 목록을 만드세요.,お気に入りの曲からプレイリストを作成。,Buat senarai main dari lagu kegemaran anda.,Lag en spilleliste fra dine favorittsanger.,Utwórz playlistę z ulubionych piosenek.,Crie uma lista de reprodução com suas músicas favoritas.,Crie uma playlist com suas músicas favoritas.,Создайте плейлист из ваших любимых песен.,Crea una lista de reproducción de tus canciones favoritas.,Skapa en spellista från dina favoritlåtar.,สร้างเพลย์ลิสต์จากเพลงโปรดของคุณ,Favori şarkılarınızdan bir çalma listesi oluşturun.,Tạo danh sách phát từ các bài hát yêu thích của bạn.
,,,创建歌单卡片首次秀出玩家未创建过歌单（待编辑状态）-副标题,favorites_diy_txt1,Favorite 3+ Songs to start creating a playlist! ,3+ الأغاني المفضلة لبدء إنشاء قائمة تشغيل!,最喜欢的3+首歌曲，开始创建播放列表！,最喜歡的3+首歌曲，開始建立播放列表！,Favoriete 3+ nummers om een afspeellijst te maken!,Paboritong 3+ kanta para makapagsimula ng playlist!,"Suosikkikappaleet 3+, joilla aloitat soittolistan luomisen!",3+ chansons préférées pour commencer à créer une playlist !,"Füge 3+ Lieblingssongs hinzu, um eine Playlist zu erstellen!",प्लेलिस्ट बनाने के लिए पसंदीदा 3+ गाने!,3+ Lagu favorit untuk mulai membuat daftar putar!,3+ canzoni preferite per iniziare a creare una playlist!,플레이리스트를 만들기 위한 좋아하는 3+ 곡!,プレイリスト作成を始めるための好きな3曲以上！,3+ Lagu kegemaran untuk mula membuat senarai main!,Favoritt 3+ sanger for å begynne å lage en spilleliste!,Ulubione 3+ piosenki na początek tworzenia playlisty!,3+ músicas favoritas para começar a criar uma playlist!,3+ músicas favoritas para começar a criar uma playlist!,Любимые 3+ песни для создания плейлиста!,¡Favoritos 3+ Canciones para comenzar a crear una lista de reproducción!,Favorit 3+ låtar för att börja skapa en spellista!,3+ เพลงโปรดเพื่อเริ่มสร้างเพลย์ลิสต์!,Çalma listesi oluşturmak için en sevdiğin 3+ şarkı!,3+ bài hát yêu thích để bắt đầu tạo danh sách phát!
,,,收藏歌曲<3 引导卡片 文案,favorites_diy_btn1,Collect,حفظ أغاني,去收藏,去收藏,Verzamelen,Mangolekta,Kerätä,Ajouter,Sammeln,इकट्ठा करना,Simpan,Aggiungi,좋아 추가,曲を登録,Raccogliere,Raccogliere,Zbierać,Favoritos,Favoritos,Выбрать,A guardar,Samla,เก็บรวบรวม,Ekle,Sưu tầm
,,,收藏歌曲<3 引导卡片 按钮,favorites_diy_txt2,Your first playlist,قائمة الأغاني الأولى لك,我的第一个专属歌单！,我的第一個專屬歌單,Je eerste afspeellijst,Ang iyong unang playlist,Ensimmäinen soittolistasi,Votre 1er playlist,Deine erste Playlist,आपकी पहली प्लेलिस्ट,Daftar lagu Pertama Anda,La tua prima lista canzoni,나의 첫번째 플레이리스트,最初のプレイリスト,La tua prima playlist,La tua prima playlist,Twoja pierwsza lista odtwarzania,Sua 1ª lista de músicas,Sua 1ª lista de músicas,Ваш первый пейлист,Tu primer álbum exclusivo,Din första spellista,เพลย์ลิสต์แรกของคุณ,Birinci özel şarkı listesi,Danh sách phát đầu tiên của bạn
,,,收藏歌曲>=3 引导卡片,favorites_diy_txt3,Select songs by yourself,اختيار الأغاني بنفسك,自定义选歌曲,自定義選歌曲,Selecteer nummers zelf,Pumili ng mga kanta sa pamamagitan ng iyong sarili,Valitse kappaleita itse,Personnaliser la musique,Individuell auswählen,अपने आप से गाने का चयन करें,Pilih lagu Sendiri,Selezioni personalizzate,커스텀 선곡,カスタマイズ,Seleziona le canzoni da solo,Seleziona le canzoni da solo,Wybierz piosenki sam,Selecione músicas,Selecione músicas,Ручной выбор песен,Canciones a tu gusto,Välj låtar själv,เลือกเพลงด้วยตัวเอง,Özelleştirilmiş seçim,Chọn các bài hát một mình
,,,创建歌单卡片非首次秀出有创建过歌单（编辑状态）-主标题,favorites_diy_txt13,Try different songs sets,تجريب ترتيب الأغاني المختلف,试试不同的歌曲组合,試試不同的歌曲組合,Probeer verschillende nummers -sets,Subukan ang iba't ibang mga set ng kanta,Kokeile erilaisia ​​kappalesarjoja,Grouper les morceaux,Vielfältige Playlisten,विभिन्न गाने सेट आज़माएं,Enjoy kumpulan lagu berbeda,Prova diversa combinazione,색다른 음악조합을 해봅시다,いろんな組合せができる,Prova diversi set di canzoni,Prova diversi set di canzoni,Wypróbuj różne zestawy piosenek,Tente outras combinações,Tente outras combinações,Сочетания разных песен,Haz diferente mezcla,Prova olika låtar,ลองชุดเพลงต่าง ๆ,İçinde bol bol sürpriz var,Thử các bộ bài hát khác nhau
,,,创建歌单卡片非首次秀出有创建过歌单（编辑状态）-副标题,favorites_diy_txt12,Enrich playlist content,توفير محتويات القائمة,丰富歌单内容,豐富歌單內容,Verrijk afspeellijstinhoud,Pagyamanin ang nilalaman ng playlist,Rikastuttava soittolistan sisältö,Enrichir le playlist,Playlist bereichern,प्लेलिस्ट सामग्री को समृद्ध करें,Memperkaya isi daftar lagu,Arricchisci la lista,플레이리스트 음악 추가,バラエティ豊かな曲リスト,Arricchimento del contenuto di playlist,Arricchimento del contenuto di playlist,Wzbogacona treść listy odtwarzania,Enriquecer contéudo,Enriquecer contéudo,Обогатите плейлист,Enriquece el álbum,Berika spellista,เพิ่มเนื้อหาเพลย์ลิสต์,İçeriğini zenginleştir,Nội dung danh sách phát phong phú
,,,创建歌单卡片非首次秀出有创建过歌单（待编辑状态）-主标题,favorites_diy_txt4,Add more euphonic songs to favorite,حفظ مزيد من الأغاني الجميلة,去收藏更多好听歌曲,去收藏更多好聽歌曲,Voeg meer eufonische liedjes toe aan favoriet,Magdagdag ng higit pang mga kanta ng euphonic sa paborito,Lisää lisää eufonisia kappaleita suosikki,Ajouter plus de morceaux au favori,Sammle jetzt mehr Lieder!,पसंदीदा में और अधिक यूपोनिक गाने जोड़ें,Menyimpan lebih banyak lagu enak,Aggiungi più belle canzoni al favorito,아름다운 음악을 더 많이 '좋아'하러,もっと良い曲をお気に入り登録しましょう,Aggiungi altre canzoni eufoniche al preferito,Aggiungi altre canzoni eufoniche al preferito,Dodaj więcej piosenek eufonicznych do ulubionego,"Coloque mais músicas lindas em ""Favoritos""","Coloque mais músicas lindas em ""Favoritos""",Сохраните еще больше красивых песен,Va a guardar más canciones bonitas,Lägg till fler eufoniska låtar till favoriten,เพิ่มเพลง Euphonic เพิ่มเติมในรายการโปรด,Fazla güzel şarkı favorilere ekle,Thêm nhiều bài hát hưng phấn vào yêu thích
,,,创建歌单卡片非首次秀出有创建过歌单（待编辑状态）-副标题,favorites_diy_txt5,Update to get this song,تحديث النسخة للحصول على هذه الأغنية,升级新版，获得这首歌曲,升級新版，獲得這首歌曲,Update om dit nummer te krijgen,I -update upang makuha ang kantang ito,Päivitys saadaksesi tämän kappaleen,MàJ pour obtenir ce morceau,Durchs Update erhält man dieses Lied,इस गीत को पाने के लिए अपडेट करें,"Perbarui versi,dapatkan lagu ini",Aggiorna nuova versione per avere questa canzone,새버전 업데이트하여 이 노래를 획득하기,新しいバージョンにアップデートしてこの曲をゲット,Aggiornamento per ottenere questa canzone,Aggiornamento per ottenere questa canzone,"Aktualizacja, aby uzyskać tę piosenkę",Atualize seu jogo para obter esta música,Atualize seu jogo para obter esta música,"Обновите версию, получите данную песню",Renova la última versión a conseguir esta canción,Uppdatering för att få den här låten,อัปเดตเพื่อรับเพลงนี้,Bu şarkı almak için güncelleştirin,Cập nhật để có được bài hát này
,,,高版本到低版本的空白卡片,favorites_diy_txt8,Exclusive playlist,قائمة الأغاني الخاصة,专属歌单,專屬歌單,Exclusieve afspeellijst,Eksklusibong playlist,Yksinoikeus soittolista,Playlist exclusif,Eigene Playlist,अनन्य प्लेलिस्ट,Daftar lagu khusus,Tua propria lista canzoni,나만의 플레이리스트,マイプレイリスト,Playlist esclusiva,Playlist esclusiva,Ekskluzywna lista odtwarzania,Própria lista de musicas,Própria lista de musicas,Личные песни,Álbum exclusivo,Exklusiv spellista,เพลย์ลิสต์พิเศษ,Özel şarkı listesi,Danh sách phát độc quyền
,,,创建完成的歌单卡片未输入名字状态-歌单名 + 系统默认给玩家创建的第一个歌单-歌单名,favorites_diy_txt9,Enter playlist name,اسم قائمة الأغاني,输入你的歌单名字,輸入你的歌單名字,Voer de afspeellijstnaam in,Ipasok ang pangalan ng playlist,Kirjoita soittolistan nimi,Titre du playlist,Playlist-Titel,प्लेलिस्ट नाम दर्ज करें,Judul Daftar Lagu,Inserisci il nome,제목을 입력하세요,プレイリスト名称,Immettere il nome della playlist,Immettere il nome della playlist,Wprowadź nazwę listy odtwarzania,O nome da lista,O nome da lista,Введите название,Nombre de tu álbum,Ange spellista namn,ป้อนชื่อเพลย์ลิสต์,Liste adını doldur,Nhập tên danh sách phát
,,,创建歌单卡片秀出（编辑状态）-主标题,favorites_diy_txt11,Editing playlist...,جاري تعديل قائمة التشغيل...,正在编辑播放列表...,正在編輯播放列表...,Afspeellijst bewerken...,Ine-edit ang playlist...,Muokataan soittolistaa...,Modification de la playlist...,Playlist wird bearbeitet...,प्लेलिस्ट संपादित की जा रही है...,Mengedit daftar putar...,Modifica playlist in corso...,재생 목록 편집 중...,プレイリストを編集中...,Menyunting senarai main...,Redigerer spilleliste...,Edytowanie playlisty...,Editando lista de reprodução...,Editando playlist...,Редактирование плейлиста...,Editando lista de reproducción...,Redigerar spellista...,กำลังแก้ไขเพลย์ลิสต์...,Çalma listesi düzenleniyor...,Đang chỉnh sửa danh sách phát...
,,,创建歌单卡片秀出（编辑状态）-副标题,favorites_diy_txt10,20 characters max,إدخال لا يفوق 20 حرفا,最多可输入10个文字,最多可輸入10個文字,20 tekens max,20 character max,20 merkkiä enintään,20 caractères au max,Zeichen-Limit: 20,20 अक्षर अधिकतम,≤ 20 Karakter,Non oltre 20 lettere,20문자이내,10文字まで入力可能,20 caratteri Max,20 caratteri Max,20 znaków Max,máximo 20 caracteres,máximo 20 caracteres,Менее 20 символов,20 letras máximo,20 tecken max,20 อักขระสูงสุด,En fazla 20 karakter,20 ký tự tối đa
,,,输入框内灰色文字,favorites_diy_txt6,Create,إنشاء,创建,創建,Creëren,Lumikha,Luoda,Créer,Erstellen,बनाएं,Ciptakan,Crea,작성,作成,Creare,Creare,Tworzyć,Criar,Criar,Создать,Crear,Skapa,สร้าง,Yarat,Tạo nên
,,,按钮-创建,favorites_diy_txt7,Save,حفظ,保存,保存,Redden,I -save,Tallentaa,Garder,Speichern,बचाना,Simpan,Salva,저장,保存,Salva,Salva,Ratować,Guardar,Guardar,Сохранить,Guardar,Spara,บันทึก,Kaydet,Cứu
,,,按钮-保存,favorites_diy_toast_txt1,You need at least 3 songs to create a playlist,لا تستطيع إنشاء قائمة الأغاني إلا بعد حفظ ثلاث أغاني على الأقل,歌曲少于3首不能创建歌单,歌曲少於3首不能創建歌單,Je hebt minstens 3 nummers nodig om een ​​afspeellijst te maken,Kailangan mo ng hindi bababa sa 3 mga kanta upang lumikha ng isang playlist,Tarvitset vähintään 3 kappaletta soittolistan luomiseen,Au moins 3 morceaux pour créer un playlist,Mit weniger als 3 Liedern ist leider keine Playlist zu erstellen,एक प्लेलिस्ट बनाने के लिए आपको कम से कम 3 गाने चाहिए,Lagu kurang dari 3 tidak bisa menciptakan daftar lagu.,Non si può creare la lista canzoni con meno di 3 canzoni,"노래가 3수 미만, 플레이리스트를 작성할 수 없습니다",レイリストを作成するには最低３曲が必要です。,Hai bisogno di almeno 3 brani per creare una playlist,Hai bisogno di almeno 3 brani per creare una playlist,"Potrzebujesz co najmniej 3 piosenek, aby stworzyć listę odtwarzania",Não pode criar lista de músicas com menos de 3 musicas,Não pode criar lista de músicas com menos de 3 musicas,Плейлист не может состоять из менее трёх песен,No se puede crear álbum con menos de 3 canciones,Du behöver minst 3 låtar för att skapa en spellista,คุณต้องการเพลงอย่างน้อย 3 เพลงเพื่อสร้างเพลย์ลิสต์,Şarkı sayısı 3'ten az olsa liste oluşturulamaz,Bạn cần ít nhất 3 bài hát để tạo danh sách phát
,,toast,勾选歌曲少于3首,favorites_diy_toast_txt2,Playlist is created!,تم إنشاء قائمة الأغاني بنجاح!,歌单创建成功！,歌單創建成功！,Afspeellijst is gemaakt!,Ang Playlist ay nilikha!,Soittolista on luotu!,Playlist créé!,Playlist erfolgreich erstellt!,प्लेलिस्ट बनाई गई है!,Daftar lagu berhasil diciptakan,Lista canzoni è creata con successo!,플레이리스트 작성 완료!,プレイリストが作成できました,La playlist è stata creata!,La playlist è stata creata!,Lista odtwarzania jest tworzona!,A sua lista de músicas foi criada com sucesso!,A sua lista de músicas foi criada com sucesso!,Плейлист успешно создан!,Álbum creado,Spellista skapas!,เพลย์ลิสต์ถูกสร้างขึ้น!,Şarkı listesi oluşturulmuştu!,Danh sách phát được tạo!
