,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
10,Happy Birthday to You,Happy Birthday to You,عيد ميلاد سعيد,祝你生日快乐,祝你生日快樂,Gefeliciteerd,Happy Birthday to You,Happy Birthday to You,Joyeux anniversaire à toi,Happy Birthday to You,Happy Birthday to You,Selamat ulang tahun,Tanti auguri a te,생일 축하합니다,お誕生日のうた,Happy Birthday to You,Gratulerer med dagen,Wszystkiego najlepszego z okazji urodzin,Parabéns para você,Parabéns para você,С днём рождения,Feliz cumpleaños,Grattis på födelsedagen,เพลงแฮปปี้เบิร์ดเดย์,Doğum günün kutlu olsun,Doğum Günün Kutlu Olsun,Chúc Mừng Sinh Nhật
11,Heidenroslein,Heidenroslein,روز البرية,野玫瑰,野玫瑰,Heidenroslein,Heidenroslein,Heidenroslein,Heidenroslein,Heideröslein,Heidenroslein,Heidenroslein,Heidenroslein,들장미,野ばら,Heidenroslein,Heidenroslein,Heidenroslein,Heidenroslein,Heidenroslein,Шиповник,Heidenroslein,Heidenroslein,Heidenroslein,Kır Gülü,Heidenroslein,Heidenroslein
12,The Painter,The Painter,الرسام,粉刷匠,粉刷匠,De schilder,The Painter,The Painter,Le peintre,The Painter,The Painter,Tukang Cat,Il pittore,화가,ペインター,The Painter,Maleren,Malarz,O pintor,O pintor,Художник,El pintor,Målaren,จิตรกร,Ressam,Ressam,Họa sĩ
13,Nocturne Op.9 No.2,Nocturne Op.9 No.2,نوكتيورن No.2 Op.9,降E大调夜曲,降E大調夜曲,Nocturne Op.9 nr. 2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 Nr.2,Nocturne Op.9 No.2,Nocturne OP.9 No.2,Nocturne Op.9 n. 2,녹턴 Op.9 2번,夜想曲 Op.9-2,Nocturne Op.9 No.2,Nocturne Op.9 Nr.2,Nocturne op.9 nr 2,Noturno Op.9 No.2,Noturno Op.9 No.2,Ноктюрн Op.9 №2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,น็อกเทิร์น ออป.9 หมายเลข 2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2
14,The Ruins of Athens No.4,The Ruins of Athens No.4,أطلال أثينا No.4,雅典的废墟No.4,雅典的廢墟No.4,De ruïnes van Athene nr. 4,The Ruins of Athens No.4,The Ruins of Athens No.4,Les ruines d'Athènes n ° 4,Die Ruinen von Athen Nr.4,The Ruins of Athens No.4,Reruntuhan Athena No.4,Le rovine di Atene n. 4,아테네의 폐허,アテネの遺跡 No.4,The Ruins of Athens No.4,Ruinene av Athen Nr.4,Ruiny Ateny nr 4,As ruínas de Atenas No.4,As ruínas de Atenas No.4,Афинские развалины №4,Las ruinas de Atenas No.4,Ruinerna av Aten No.4,ซากปรักหักพังของเอเธนส์หมายเลข 4,Atina No.4 kalıntıları,Atina Harabeleri No.4,The Ruins of Athens No.4
15,Waltz in A minor,Waltz in A minor,فالس في سلم لا الصغير,a小调圆舞曲,a小調圓舞曲,Wals in een minderjarige,Waltz in A minor,Waltz in A minor,Valse dans un mineur,Walzer in a-Moll,Waltz in A minor,Waltz di bawah umur,Valzer in un minore,왈츠 가단조,ワルツ イ短調,Waltz in A minor,Vals i a-moll,Walc w tonacji molowej,Valsa em Lá Menor,Valsa em Lá Menor,Вальс ля минор,Vals en La menor,Vals i en molltonart,วอลทซ์ในเอไมเนอร์,Bir küçük vals,A minör Valsi,Waltz cung thứ
16,Gavotte,Gavotte,رقصة الغافوتية,加沃特舞曲,加沃特舞曲,Gavotte,Gavotte,Gavotte,Gavotte,Gavotte,Gavotte,Gavotte,Gavotta,가보트,ガヴォット,Gavotte,Gavotte,Gawot,Gavota,Gavota,Гавот,Gavota,Gavott,Gavotte,Gavot dansı,Gavotte,Gavotte
17,Por Una Cabeza,Por Una Cabeza,بور أونا كابيزا,一步之遥,一步之遙,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,Por una Cabeza,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,Por una cabeza,간발의 차이,ポル・ウナ・カベーサ,Por Una Cabeza,Por Una Cabeza,Por una cabeza,Por Una Cabeza,Por Una Cabeza,Пор Уна Кабеса,Por una Cabeza,Por una cabeza,Por Una Cabeza,Bir Kafa,Por Una Cabeza,Por Una Cabeza
18,Moments Musicaux,Moments Musicaux,لحظات الموسيقى,音乐瞬间,音樂瞬間,Momenten Musicaux,Moments Musicaux,Moments Musicaux,Moments musicaux,Moments Musicaux,Moments Musicaux,Momen Musicaux,Momenti Musicaux,악흥의 순간,楽興の時,Moments Musicaux,Moments Musicaux,Muzyczne chwile,Momentos Musicais,Momentos Musicais,Музыкальный момент,Momentos musicales,Moments Musicaux,Moments Musicaux,Anlar Musicaux,Moments Musicaux,Những khoảnh khắc âm nhạc
19,Korobeiniki,Korobeiniki,الباعة المتجولين,卖货郎,賣貨郎,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,코로베이니키,コロブチカ,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Korobeiniki,Коробейники,Korobeiniki,Korobeiniki,โคโรเบย์นิกี หรือ เพลงเตตริส,Korobeiniki,Korobeiniki,Korobeiniki
20,Waltz Op.64 No.1,Waltz Op.64 No.1,الفالس No.1 Op.64,小狗圆舞曲,小狗圓舞曲,Waltz Op.64 Nr. 1,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 Nr.1,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 n.1,강아지 왈츠,子犬のワルツ,Waltz Op.64 No.1,Waltz Op.64 Nr.1,Walc op.64 nr 1,Valsa Op.64 No.1,Valsa Op.64 No.1,Вальс Op.64 №1,Vals Op.64 No.1,Vals Op.64 No.1,วอลทซ์ ออป.64 หมายเลข 1,Waltz Op.64 No.1,Vals Op.64 No.1,Waltz Op.64 No.1
21,Dance of the Sugar Fairy,Dance of the Sugar Fairy,رقصة الجنية السكر,糖果仙子之舞,糖果仙子之舞,Dans van de suikerbrook,Dance of the Sugar Fairy,Dance of the Sugar Fairy,Danse de la fée sucrée,Dance of The Sugar Fairy,Dance of the Sugar Fairy,Dance of the Sugar Fairy,Dance of the Sugar Fairy,사탕 요정의 춤,金平糖の精の踊り,Dance of the Sugar Fairy,Dansen til Sukkertøyfeen,Taniec Cukrowej Wróżki,Dança da Fada Açucarada,Dança da Fada Açucarada,Танец сахарной феи,Danza del hada de azúcar,Dance of the Sugar Fairy,Dance of the Sugar Fairy,Şeker perisinin dansı,Şeker Perisi Dansı,Dance of the Sugar Fairy
22,The Swan,The Swan,البجعة,天鹅,天鵝,De Zwaan,The Swan,The Swan,Le cygne,Der Schwan,The Swan,Angsa,Il Cigno,백조,白鳥,The Swan,Svanen,Łabędź,O cisne,O cisne,Лебедь,El Cisne,The Swan,เดอะสวอน,Kuğu,Kuğu,Thiên nga
23,Prelude in C Major No.1,Prelude in C Major No.1,مقدمة في سلم دو الكبير No.1,C大调前奏曲No.1,C大調前奏曲No.1,Prelude in C majeur Nr. 1,Prelude in C Major No.1,Prelude in C Major No.1,Prélude en C Major No.1,Prelude in C-Dur Nr.1,Prelude in C Major No.1,Prelude in C Mayor No.1,Preludio in C Maggiore n. 1,다장조 프렐류드 제1번,プレリュード 第1番 ハ長調,Prelude in C Major No.1,Preludium i C-dur nr.1,Preludium w C-dur nr 1,Prelúdio em Dó Maior No.1,Prelúdio em Dó Maior No.1,Прелюдия до мажор №1,Preludio en Do Mayor No.1,Preludium i C-dur No.1,พรีลูดในคีย์ C เมเจอร์ หมายเลข 1,C Major No.1'de Prelude,C Majör Prelüd No.1,Prelude cung C trưởng No.1
24,Tritsch Tratsch Polka,Tritsch Tratsch Polka,رقصة البولكا,闲聊波尔卡,閑聊波爾卡,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tatsch Polka,Tritsch Tratsch Polka,트리치 트리치 폴카,トリッチ・トラッチ・ポルカ,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Полька Тритш-Тратш,Polca Tritsch-Tratsch,Tritsch tratsch polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka
25,Cancan,Cancan,كان كان,康康舞曲,康康舞曲,Kan kan,Cancan,Cancan,Cancan,Cancan,Cancan,Bisa bisa,Cancan,캉캉,カンカン,Cancan,Cancan,Cancan,Cancan,Cancan,Канкан,Cancán,Cancan,Cancan,Kanser,Cancan,Cancan
26,Sonata in D Major K311,Sonata in D Major K311,سوناتا في سلم ري الكبير K311,D大调奏鸣曲K311,D大調奏鳴曲K311,Sonata in D Major K311,Sonata in D Major K311,Sonata in D Major K311,Sonate en D Major K311,Sonata in D-Dur K311,Sonata in D Major K311,Sonata di D Mayor K311,Sonata in D Major K311,라장조 소나타 K.311,ピアノソナタ ニ長調 K311,Sonata in D Major K311,Sonate i D-dur K311,Sonata w D-dur K311,Sonata em Ré Maior K311,Sonata em Ré Maior K311,Соната ре мажор K311,Sonata en Re Mayor K311 ,Sonat i D-dur K311,โซนาตาในคีย์ D เมเจอร์ K.311,D Major K311'de Sonata,D Majör Sonatı K311,Sonata cung D trưởng K.311
27,Symphony No.40 in g,Symphony No.40 in g,السيمفونية No.40 في سلم صول الصغير,g小调第四十交响曲,g小調第四十交響曲,Symfonie Nr. 40 in g,Symphony No.40 in g,Symphony No.40 in g,Symphonie n ° 40 en g,Symphonie Nr.40 in G,Symphony No.40 in g,Simfoni No.40 di G,Sinfonia n. 40 in G,교향곡 40번,交響曲 第40番,Symphony No.40 in g,Symfoni nr.40 i G-moll,Symfonia nr 40 w G-dur,Sinfonia No.40 em Sol Menor,Sinfonia No.40 em Sol Menor,Симфония №40,Sinfonía No.40 en Sol,Symfoni no.40 i g-moll,ซิมโฟนีหมายเลข 40 ใน G ไมเนอร์,G'de Senfoni No.40,G minör Senfoni No.40,Bản giao hưởng số 40 trong G
28,G minor Bach,G minor Bach,سلم صول الصغير لباخ,g小调巴赫,g小調巴赫,G Minor Bach,G minor Bach,G minor Bach,G mineur bach,g-Moll (Bach),G minor Bach,G Bach Minor,G minore Bach,바흐 G단조,フーガ ト短調 バッハ,G minor Bach,G-moll Bach,G-moll Bach,Bach em Sol Menor,Bach em Sol Menor,G минор Бах,Sol menor Bach,G-moll Bach,บาค ใน G ไมเนอร์,G minör Bach,G minör Bach,Bản G thứ của Bach
29,Sonatina Op.36 No.3,Sonatina Op.36 No.3,السوناتينا No.3 Op.36,小奏鸣曲Op.36-3,小奏鳴曲Op.36-3,Sonatina Op.36 Nr. 3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina OP.36 No.3,Sonatina Op.36 Nr.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,소나티네 Op.36 36번,ソナチネ Op.36-3,Sonatina Op.36 No.3,Sonatine Op.36 nr.3,Sonatina op. 36 nr 3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Сонатина Op.36 №3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3
30,Etude Op.299 No.39,Etude Op.299 No.39,القطعة الموسيقية No.39 Op.299,车尔尼Op.299-39,車爾尼Op.299-39,Etude Op.299 Nr. 39,Etude Op.299 No.39,Etude Op.299 No.39,Etude OP.299 n ° 39,Etude Op.299 Nr.39,Etude Op.299 No.39,Etude Op.299 No.39,Etude op.299 n. 39,에튀드 Op.299 39번,練習曲 Op.299-39,Etude Op.299 No.39,Etude Op.299 nr.39,Etiuda op.299 nr 39,Estudo Op.299 No.39,Estudo Op.299 No.39,Этюд Op.299 №39,Etude Op.299 No.39,Etude Op.299 No.39,Etude Op.299 No.39,Erude op.299 No.39,Etüd Op.299 No.39,Etude Op.299 No.39
31,Sonata in C Major K545,Sonata in C Major K545,سوناتا في سلم دو الكبيرK545,C大调奏鸣曲K545,C大調奏鳴曲K545,Sonate in C Major K545,Sonata in C Major K545,Sonata in C Major K545,Sonate en C Major K545,Sonata in C-Dur K545,Sonata in C Major K545,Sonata di C Mayor K545,Sonata in C maggiore K545,C장조 소나타 K545,ピアノソナタ ハ長調 K.545,Sonata in C Major K545,Sonate i C-dur K545,Sonata w C-dur K545,Sonata em Dó Maior K545,Sonata em Dó Maior K545,Соната до мажор K545,Sonata en Do Mayor K545,Sonat i C-dur K545,โซนาตาในคีย์ C เมเจอร์ K.545,C Major K545'te Sonata,C Majör Sonatı K545,Sonata cung C trưởng K.545
32,Csikos Post,Csikos Post,سيكوس بوست,邮递马车,郵遞馬車,Csikos Post,Csikos Post,Csikos Post,CSIKOS POST,Csikós Post,Csikos Post,Posting CSIKOS,Csikos Post,크시코스의 우편마차,クシコスポスト,Csikos Post,Csikos Post,Csikos Post,Csikos Post,Csikos Post,Почтовая повозка,Csikos Post,Csikos post,Csikos Post,Csikos Post,Csikos Post,Csikos Post
33,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,يين كلين ناختموسيك,G大调小夜曲No.1,G大調小夜曲No.1,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,아이네 클라이네 나흐트무지크,アイネ・クライネ・ナハトムジーク,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Pequena Serenata Noturna,Pequena Serenata Noturna,Маленькая ночная серенада,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Küçük Gece Müziği,Küçük Gece Müziği,Eine Kleine Nachtmusik
34,The Fountain,The Fountain,نافورة,喷泉,噴泉,De fontein,The Fountain,The Fountain,La fontaine,Der Brunnen,The Fountain,Air mancur,La fontana,분수,ファウンテン,The Fountain,Fontenen,Fontanna,A Fonte,A Fonte,Фонтан,La fuente,Fontänen,น้ำพุ,Çeşme,Çeşme,Đài phun nước
35,Etude Op.10 No.4,Etude Op.10 No.4,القطعة الموسيقية No.4 Op.10,激流练习曲,激流練習曲,Etude Op.10 Nr. 4,Etude Op.10 No.4,Etude Op.10 No.4,Etude Op.10 n ° 4,Etude Op.10 Nr.4,Etude Op.10 No.4,Etude Op.10 No.4,Etude op.10 n. 4,"연습곡 Op. 10, 4번",エチュード Op.10-4,Etude Op.10 No.4,Etude op.10 nr.4,Etiuda op.10 nr 4,Estudo Op.10 No.4,Estudo Op.10 No.4,Этюд Op.10 №4,Etude Op.10 No.4,Etude Op.10 No.4,Etude Op.10 No.4,Erude Op.10 No.4,Etüd Op.10 No.4,Etude Op.10 No.4
36,Gypsy Rondo,Gypsy Rondo,الغجر روندو,吉普赛回旋曲,吉普賽迴旋曲,Gypsy Rondo,Gypsy Rondo,Gypsy Rondo,Gitan rondo,Gypsy Rondo,Gypsy Rondo,Gypsy Rondo,Gypsy Rondo,집시 론도,ジプシー・ロンド,Gypsy Rondo,Gypsy Rondo,Cygańskie Rondo,Rondo Cigano,Rondo Cigano,Цыганское рондо,Rapsodia gitana,Zigenardans,Gypsy Rondo,Çingene Rondo,Çingene Rondosu,Gypsy Rondo
37,Spanish Dances,Spanish Dances,الرقصات الأسبانية,西班牙舞曲,西班牙舞曲,Spaanse dansen,Spanish Dances,Spanish Dances,Danses espagnols,Spanische Tänze,Spanish Dances,Tarian Spanyol,Balli spagnoli,스페인의 춤,スパニッシュダンス,Spanish Dances,Spanske danser,Tańce hiszpańskie,Danças Espanholas,Danças Espanholas,Испанские танцы,Bailes españoles,Spanska danser,เต้นรำสเปน,İspanyol dansları,İspanya dansları,Các điệu nhảy Tây Ban Nha
38,Prelude in E Major BWV 937,Prelude in E Major BWV 937,المقدمة في مفتاح مي الكبير (BWV 937),E大调小前奏曲,E大調小前奏曲,Prelude in e Major BWV 937,Prelude in E Major BWV 937,Prelude in E Major BWV 937,Prélude dans E Major BWV 937,Präludium in E-Dur BWV 937,Prelude in E Major BWV 937,Prelude in E Mayor BWV 937,Preludio in E maggiore BWV 937,E장조 프렐류드 BWV 937,プレリュード ホ長調 BWV937,Prelude in E Major BWV 937,Preludium i E-dur BWV 937,Preludium w E-dur BWV 937,Prelúdio em Mi Maior BWV 937,Prelúdio em Mi Maior BWV 937,Прелюдия ми мажор BWV 937,Preludio en Mi Mayor BWV 937,Preludium i E-dur BWV 937,พรีลูดใน E เมเจอร์ BWV 937,E Major BWV 937'de Prelude,E Majör Prelüd BWV 937,Prelude cung E trưởng BWV 937
39,Sonata in A Major K331,Sonata in A Major K331,سوناتا في سلم لا الكبير K331,A大调奏鸣曲K331,A大調奏鳴曲K311,Sonate in een grote K331,Sonata in A Major K331,Sonata in A Major K331,Sonate dans un major K331,Sonate in A-Dur KV 331,Sonata in A Major K331,Sonata di K331 utama,Sonata in un importante K331,A장조 소나타 K.331,ピアノソナタ イ長調 K331,Sonata in A Major K331,Sonate i A-dur K331,Sonata w głównym K331,Sonata em Lá Maior K331,Sonata em Lá Maior K331,Соната ля мажор K331,Sonata en La Mayor K331,Sonat i A-dur K331,โซนาตาในคีย์ A เมเจอร์ K.331,Büyük bir K331'de Sonata,A Majör Sonatı K331,Sonata cung A trưởng K.331
40,Hungarian Dance No.5,Hungarian Dance No.5,الرقصة الهنغارية No.5,匈牙利舞曲No.5,匈牙利舞曲No.5,Hongaarse dans nr. 5,Hungarian Dance No.5,Hungarian Dance No.5,Danse hongroise n ° 5,Ungarischer Tanz Nr.5,Hungarian Dance No.5,Tarian Hongaria No.5,Danza ungherese n. 5,헝가리인의 춤 5번,ハンガリー舞曲 第5番,Hungarian Dance No.5,Ungarsk dans nr. 5,Węgierski taniec nr 5,Dança Húngara No.5,Dança Húngara No.5,Венгерский танец №5,Danza húngara No.5,Ungerska dans no.5,ฮังกาเรียนแดนซ์หมายเลข 5,Macar dansı No.5,Macar Dansı No.5,Vũ điệu Hungary số 5
41,The Entertainer,The Entertainer,الفنان,演艺人,演藝人,De entertainer,The Entertainer,The Entertainer,L'artiste,The Entertainer,The Entertainer,Penghibur,L'intrattenitore,엔터테이너,エンターテイナー,The Entertainer,Underholderen,Artysta,O Artista,O Artista,Конферансье,El animador,Underhållaren,ดิ เอนเตอร์เทนเนอร์,Şovmen,Eğlenceci,The Entertainer
42,Santa Lucia,Santa Lucia,سانتا لوسيا,桑塔露琪娅,桑塔露琪婭,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,산타 루치아,サンタルチア,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,Santa Lucia,Санта Лючия,Santa Lucía,Santa Lucia,ซานตาลูเซีย,Aziz Lucia,Santa Lucia,Santa Lucia
43,Horse Racing,Horse Racing,سباق الخيل,赛马,賽馬,Paardenracen,Horse Racing,Horse Racing,Course de chevaux,Horse Racing,Horse Racing,Pacuan kuda,Corsa di cavalli,경마,二頭の馬の競走,Horse Racing,Hesteveddeløp,Wyścigi konne,Corrida de Cavalos,Corrida de Cavalos,Лошадиные скачки,Las carreras de caballos,Hästkapplöpning,การแข่งม้า,At yarışı,At Yarışı,Đua ngựa
44,American Patrol,American Patrol,دورية أمريكية,巡逻兵进行曲,巡邏兵進行曲,Amerikaanse patrouille,American Patrol,American Patrol,Patrouille américaine,American Patrol,American Patrol,Patroli Amerika,Pattuglia americana,아메리칸 페트롤,アメリカン・パトロール,American Patrol,Amerikansk patrulje,Patrol amerykański,Patrulha Americana,Patrulha Americana,Американский патруль,Patrulla Americana,Amerikansk patrull,American Patrol,Amerikan devriyesi,Amerikan Devriyesi,Tuần tra Hoa Kỳ
45,Sonata No.34 - Finale,Sonata No.34 - Finale,سوناتا No.34 - خاتمة,奏鸣曲第34号 - 终乐章,奏鳴曲第34號 - 終樂章,Sonate Nr. 34 – Finale,Sonata No.34 - Finale,Sonata No.34 - Finale,Sonata n ° 34 - finale,Sonata Nr.34 - Finale,Sonata No.34 - Finale,Sonata No.34 - Finale,Sonata n. 34 - Finale,소나타 34번 – 피날레,ピアノソナタ第34番 -最終楽章,Sonata No.34 - Finale,Sonate nr.34 - Finale,Sonata nr 34 - finał,Sonata No.34 - Finale,Sonata No.34 - Finale,Соната №34,Sonata No.34 - Final,Sonat no.34 - Finale,โซนาตา หมายเลข 34 - ฟินาเล่,Sonata No.34 - Final,Sonata No.34 - Finale,Sonata No.34 – Chương kết
46,Polka,Polka,البولكا,波尔卡,波爾卡,Polka,Polka,Polka,Polka,Polka,Polka,Polka,Polka,폴카,ポルカ,Polka,Polka,Polka,Polca,Polca,Полька,Polca,Polka,โพลก้า,Polka,Polka,Polka
47,Minuet No.3,Minuet No.3,المينيويت No.3,小步舞曲No.3,小步舞曲No.3,Minuet nr. 3,Minuet No.3,Minuet No.3,Minuet No.3,Menuett Nr.3,Minuet No.3,Minuet No.3,Minuet n. 3,미뉴에트 3번,メヌエット 第3番,Minuet No.3,Menuett nr.3,Menuet nr 3,Minueto No.3,Minueto No.3,Менуэт №3,Minueto No.3,Menuett no. 3,มินูเอต หมายเลข 3,Minüet No.3,Minüet No.3,Minuet No.3
48,Radetzky March,Radetzky March,مسيرة راديتزكي,拉德斯基进行曲,拉德斯基進行曲,Radetzky maart,Radetzky March,Radetzky March,Radetzky March,Radetzky-Marsch,Radetzky March,March Radetzky,Radetzky March,라데츠키 행진곡,ラデツキー行進曲,Radetzky March,Radetzky-marsj,Marsz Radetzky’ego,Marcha Radetzky,Marcha Radetzky,Марш Радецкого,Marcha Radetzky,Radetzky Marsch,ราเด็ตสกี้มาร์ช,Radetzky Mart,Radetzky Marşı,Radetzky March
49,Carmen Overture,Carmen Overture,افتتاحية أوبرا كرمن,卡门序曲,卡門序曲,Carmen Overture,Carmen Overture,Carmen Overture,Carmen Overture,Carmen Overture,Carmen Overture,Carmen Overture,Carmen Overture,카르멘 서곡,カルメン 序曲,Carmen Overture,Carmen-ouverture,Uwertura Carmen,Abertura de Carmen,Abertura de Carmen,Кармен Увертюра,Obertura de Carmen,Carmen Overture,คาร์เมน โอเวอร์เจอร์,Carmen Açılışı,Carmen Açılışı,Khúc mở màn Carmen
