ActivityNo,ActivityTid,StageId,Mid,MName,UnlockScore,RewardItem,RewardDiamond,RewardCoin,RewardLife,RewardSong,
,,1416,100059,Angels we have heard on high,520,,10,300,,,
15,journey_activity_title12,1501,100413,Dayung Sampan,459,,,,,,
,,1502,100488,Szla Dzieweczka,425,,,,,,
,,1503,100204,Arirang,401,"0,1|2,1",5,150,,,
,,1504,100366,Beo dat may troi,309,,,,,,
,,1505,100273,Aloha Oe,386,"0,1|1,2|2,2",10,150,,,
,,1506,100462,Tarantella Napoletana,261,,,,,,
,,1507,100391,Bahay Kubo,366,,,,,,
,,1508,100196,Sakura Sakura,422,"0,2|1,2|2,2",15,300,,,
,,1509,100413,Dayung Sampan,459,,,,,,
,,1510,100488,Szla Dzieweczka,425,,,,,,
,,1511,100204,Arirang,401,,5,150,,,
,,1512,100366,Beo dat may troi,309,,,,,,
,,1513,100273,Aloha Oe,386,,5,150,,,
,,1514,100462,Tarantella Napoletana,261,,,,,,
,,1515,100391,Bahay Kubo,366,,,,,,
,,1516,100196,Sakura Sakura,422,,10,300,,,
16,journey_activity_title9,1601,100543,La Czarine-Mazurka,319,,,,,,
,,1602,100417,A Real Slow Drag,471,,,,,,
,,1603,100041,The Entertainer,691,"0,1|2,1",5,150,,,
,,1604,100024,Tritsch Tratsch Polka,475,,,,,,
,,1605,100048,Radetzky March,358,"0,1|1,2|2,2",10,150,,,
,,1606,100236,Peacherine Rag,419,,,,,,
,,1607,100256,Original Rags,386,,,,,,
,,1608,100040,Hungarian Dance No.5,386,"0,2|1,2|2,2",15,300,,,
,,1609,100543,La Czarine-Mazurka,319,,,,,,
,,1610,100417,A Real Slow Drag,471,,,,,,
,,1611,100041,The Entertainer,691,,5,150,,,
,,1612,100024,Tritsch Tratsch Polka,475,,,,,,
,,1613,100048,Radetzky March,358,,10,150,,,
,,1614,100236,Peacherine Rag,419,,,,,,
,,1615,100256,Original Rags,386,,,,,,
,,1616,100040,Hungarian Dance No.5,386,,15,300,,,
17,journey_activity_title10,1701,100506,The Dying Poet,355,,,,,,
,,1702,100521,Fleurette-Romance Op.75 No.1,407,,,,,,
,,1703,100117,Piano Concerto No.1,382,"0,1|2,1",5,150,,,
,,1704,100280,Romance,427,,,,,,
,,1705,100064,Liebestraum No.3,380,"0,1|1,2|2,2",10,150,,,
,,1706,100406,Entr'acte-Gavotte Op.13,435,,,,,,
,,1707,100115,Elegie Op.3 No.1,474,,,,,,
,,1708,100135,Danse Macabre,654,"0,2|1,2|2,2",15,300,,,
,,1709,100506,The Dying Poet,355,,,,,,
,,1710,100521,Fleurette-Romance Op.75 No.1,407,,,,,,
,,1711,100117,Piano Concerto No.1,382,,5,150,,,
,,1712,100280,Romance,427,,,,,,
,,1713,100064,Liebestraum No.3,380,,10,150,,,
,,1714,100406,Entr'acte-Gavotte Op.13,435,,,,,,
,,1715,100115,Elegie Op.3 No.1,474,,,,,,
,,1716,100135,Danse Macabre,654,,15,300,,,
18,journey_activity_title13,1801,101062,Little Star Reprise,615,"94,101062",,150,,,
,,1802,101063,Reminisce Start Again,309,"0,2|1,2|2,2|94,101063",,,,,
,,1803,101064,Decades Birthday Reprise,255,"94,101064",5,,,,
,,1804,101065,Long Letter Reprise,590,"94,101065",,150,,,
,,1805,101066,Wandering Fields,501,"94,101066",10,,,,
,,1806,101067,Piano Tiles Reprise,305,"0,3|1,3|2,3|94,101067",,,,,
,,1807,101068,Amongst the Stars,728,"94,101068",,300,,,
,,1808,101069,Treetop Viewing,593,"5010,1|94,101068",15,,,,
,,1809,101062,Little Star Reprise,615,,,150,,,
,,1810,101063,Reminisce Start Again,309,,,,,,
,,1811,101064,Decades Birthday Reprise,255,,5,,,,
,,1812,101065,Long Letter Reprise,590,,,150,,,
,,1813,101066,Wandering Fields,501,,10,,,,
,,1814,101067,Piano Tiles Reprise,305,,,,,,
,,1815,101068,Amongst the Stars,728,,,300,,,
,,1816,101069,Treetop Viewing,593,"5011,1|5020,1",15,,,,
