SongName,BaseBPM,first,second,third,firstBB,secondBB,thirdBB,firstTPS,secondTPS,thirdTPS,avgTPS
6 Bagatelles Op.126 No.6.json,720,720,720,720,1,1,1,12.0,12.0,12.0,12.0
6 Ecossaises WoO 83.json,140,140,148,156,0.5,0.5,0.5,4.67,4.93,5.2,4.93
6 Landlers WoO 15 Coda.json,540,540,540,540,1,1,1,9.0,9.0,9.0,9.0
6 Landlers WoO 15 No.1.json,540,540,540,540,1,1,1,9.0,9.0,9.0,9.0
6 Landlers WoO 15 No.2.json,540,540,540,540,1,1,1,9.0,9.0,9.0,9.0
6 Landlers WoO 15 No.3.json,540,540,540,540,1,1,1,9.0,9.0,9.0,9.0
6 Landlers WoO 15 No.4.json,540,540,540,540,1,1,1,9.0,9.0,9.0,9.0
6 Landlers WoO 15 No.5.json,540,540,540,540,1,1,1,9.0,9.0,9.0,9.0
6 Landlers WoO 15 No.6.json,540,540,540,540,1,1,1,9.0,9.0,9.0,9.0
6 Minuets WoO 10 No.1.json,384,384,384,384,0.75,0.75,0.75,8.53,8.53,8.53,8.53
6 Minuets WoO 10 No.2.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
6 Minuets WoO 10 No.3.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
6 Minuets WoO 10 No.4.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
6 Minuets WoO 10 No.5.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
6 Minuets WoO 10 No.6.json,372,372,372,372,0.75,0.75,0.75,8.27,8.27,8.27,8.27
6 Moments musicaux. D 780. Op.94 No.1.json,333,333,333,333,0.75,0.75,0.75,7.4,7.4,7.4,7.4
6 Moments musicaux. D 780. Op.94 No.2.json,222,222,222,222,0.75,0.75,0.75,4.93,4.93,4.93,4.93
6 Moments musicaux. D 780. Op.94 No.3.json,300,300,300,300,0.75,0.75,0.75,6.67,6.67,6.67,6.67
6 Moments musicaux. D 780. Op.94 No.4.json,306,306,306,306,0.75,0.75,0.75,6.8,6.8,6.8,6.8
6 Moments musicaux. D 780. Op.94 No.5.json,339,339,339,339,0.75,0.75,0.75,7.53,7.53,7.53,7.53
6 Moments musicaux. D 780. Op.94 No.6.json,390,390,390,390,0.75,0.75,0.75,8.67,8.67,8.67,8.67
6 Polish Songs after Chopin S.480 No.6 (Narzeczony).json,405,405,405,405,0.75,0.75,0.75,9.0,9.0,9.0,9.0
6 Variations on an Original Theme Op.34.json,504,504,504,504,0.75,0.75,0.75,11.2,11.2,11.2,11.2
6 Variations on an Original Theme Op.76.json,450,450,450,450,0.75,0.75,0.75,10.0,10.0,10.0,10.0
6PM (Animal Crossing_ New Leaf).json,120,120,120,120,0.75,0.75,0.75,2.67,2.67,2.67,2.67
7 Bagatelles Op.33 No.1.json,270,270,270,270,0.75,0.75,0.75,6.0,6.0,6.0,6.0
7 Bagatelles Op.33 No.2.json,540,540,540,540,0.75,0.75,0.75,12.0,12.0,12.0,12.0
7 Bagatelles Op.33 No.3.json,390,390,390,390,0.75,0.75,0.75,8.67,8.67,8.67,8.67
7 Bagatelles Op.33 No.4.json,216,216,216,216,0.75,0.75,0.75,4.8,4.8,4.8,4.8
7 Bagatelles Op.33 No.5.json,360,360,360,360,0.5,0.5,0.5,12.0,12.0,12.0,12.0
7 Bagatelles Op.33 No.6.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
7 Bagatelles Op.33 No.7.json,810,810,810,810,1.25,1.25,1.25,10.8,10.8,10.8,10.8
7 Contredanses WoO 14 No.1.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
7 Contredanses WoO 14 No.2.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
7 Contredanses WoO 14 No.3.json,372,372,372,372,0.75,0.75,0.75,8.27,8.27,8.27,8.27
7 Contredanses WoO 14 No.4.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
7 Contredanses WoO 14 No.5.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
7 Contredanses WoO 14 No.6.json,396,396,396,396,0.75,0.75,0.75,8.8,8.8,8.8,8.8
7 Contredanses WoO 14 No.7.json,372,372,372,372,0.75,0.75,0.75,8.27,8.27,8.27,8.27
7 Landler WoO 11 No.2.json,170,170,174,178,0.5,0.5,0.5,5.67,5.8,5.93,5.8
7 Landler WoO 11 No.6.json,140,140,144,148,0.5,0.5,0.5,4.67,4.8,4.93,4.8
7 Landler WoO 11 No.7.json,180,180,184,188,0.5,0.5,0.5,6.0,6.13,6.27,6.13
7 Landlers WoO 11 Coda.json,160,160,160,160,0.25,0.25,0.25,10.67,10.67,10.67,10.67
7 Landlers WoO 11 No.1.json,160,160,160,160,0.25,0.25,0.25,10.67,10.67,10.67,10.67
7 Landlers WoO 11 No.2.json,160,160,160,160,0.25,0.25,0.25,10.67,10.67,10.67,10.67
7 Landlers WoO 11 No.3.json,160,160,160,160,0.25,0.25,0.25,10.67,10.67,10.67,10.67
7 Landlers WoO 11 No.4.json,160,160,160,160,0.25,0.25,0.25,10.67,10.67,10.67,10.67
7 Landlers WoO 11 No.5.json,160,160,160,160,0.25,0.25,0.25,10.67,10.67,10.67,10.67
7 Landlers WoO 11 No.6.json,160,160,160,160,0.25,0.25,0.25,10.67,10.67,10.67,10.67
7 Landlers WoO 11 No.7.json,160,160,160,160,0.25,0.25,0.25,10.67,10.67,10.67,10.67
7 Rings.json,210,210,210,210,0.5,0.5,0.5,7.0,7.0,7.0,7.0
7 Years BEEPY.json,90,90,90,90,0.25,0.25,0.25,6.0,6.0,6.0,6.0
7 Years.json,90,90,90,90,0.25,0.25,0.25,6.0,6.0,6.0,6.0
8-Bits.json,90,90,90,90,0.5,0.5,0.5,3.0,3.0,3.0,3.0
9KX2 (Playable Ver.).json,142.5,142.5,142.5,142.5,0.25,0.25,0.25,9.5,9.5,9.5,9.5
9KX2 60TPS.json,570,570,570,570,0.5,0.5,0.5,19.0,19.0,19.0,19.0
9KX2.json,570,570,570,570,0.5,0.5,0.5,19.0,19.0,19.0,19.0
9KX21.json,570,114514,114514,114514,1,1,0.75,1908.57,1908.57,2544.76,2120.63
10 000 TPS.json,35,35,35,35,0.25,0.25,0.25,2.33,2.33,2.33,2.33
10 Ages Long Song.json,1,1,1,1,0.0625,0.0625,0.0625,0.27,0.27,0.27,0.27
10 TBS SINGLES TILES.json,83,83,78,78,0.25,0.25,0.25,5.53,5.2,5.2,5.31
10 Years Long Song.json,1,1,1,1,0.0625,0.0625,0.0625,0.27,0.27,0.27,0.27
10-13-16 TPS Strange Sound 3.json,60,60,60,60,0.5,0.5,0.5,2.0,2.0,2.0,2.0
10-100-1000 TPS Crazy Pharaoh.json,170,170,178,186,0.5,0.5,0.5,5.67,5.93,6.2,5.93
10.5 TPS Double Tiles.json,19910329,19910329,19910329,19910329,0.5,0.5,0.5,663677.63,663677.63,663677.63,663677.63
10.5 TPS Single Tiles.json,19950619,19950619,19950619,19950619,0.25,0.25,0.25,1330041.27,1330041.27,1330041.27,1330041.27
10.8 TPS Etude Op.39 No.10.json,210,210,210,210,0.5,0.5,0.5,7.0,7.0,7.0,7.0
10.json,63,63,63,63,0.25,0.25,0.25,4.2,4.2,4.2,4.2
10M Long Tile.json,89,89,89,89,0.25,0.25,0.25,5.93,5.93,5.93,5.93
10TPS Space Tiles.json,300,300,300,300,0.5,0.5,0.5,10.0,10.0,10.0,10.0
11 Bagatelles Op.119 No.1.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
11 Bagatelles Op.119 No.2.json,180,180,180,180,0.375,0.375,0.375,8.0,8.0,8.0,8.0
11 Bagatelles Op.119 No.3.json,201,201,201,201,0.75,0.75,0.75,4.47,4.47,4.47,4.47
11 Bagatelles Op.119 No.4.json,252,252,252,252,0.75,0.75,0.75,5.6,5.6,5.6,5.6
11 Bagatelles Op.119 No.5.json,237,237,237,237,0.75,0.75,0.75,5.27,5.27,5.27,5.27
11 Bagatelles Op.119 No.6.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
11 Bagatelles Op.119 No.7.json,390,390,390,390,0.75,0.75,0.75,8.67,8.67,8.67,8.67
11 Bagatelles Op.119 No.8.json,330,330,330,330,0.75,0.75,0.75,7.33,7.33,7.33,7.33
11 Bagatelles Op.119 No.9.json,450,450,450,450,0.75,0.75,0.75,10.0,10.0,10.0,10.0
11 Bagatelles Op.119 No.10.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
11 Bagatelles Op.119 No.11.json,240,240,240,240,0.75,0.75,0.75,5.33,5.33,5.33,5.33
11 TPS Aux cypres de la Villa d'Este I.json,73,73,73,73,0.25,0.25,0.25,4.87,4.87,4.87,4.87
11 TPS Chopsticks.json,67,67,67,67,0.25,0.25,0.25,4.47,4.47,4.47,4.47
11 TPS Double Tiles.json,19910329,19910329,19910329,19910329,0.5,0.5,0.5,663677.63,663677.63,663677.63,663677.63
11 TPS Gochu Chamchi fap _)).json,300,300,300,300,0.5,0.5,0.5,10.0,10.0,10.0,10.0
11 TPS Single Tiles.json,19950619,19950619,19950619,19950619,0.25,0.25,0.25,1330041.27,1330041.27,1330041.27,1330041.27
11.1 TPS Bad Boy.json,300,300,300,300,0.5,0.5,0.5,10.0,10.0,10.0,10.0
11.5 TPS Double Tiles.json,19910329,19910329,19910329,19910329,0.5,0.5,0.5,663677.63,663677.63,663677.63,663677.63
11.5 TPS Single Tiles.json,19950619,19950619,19950619,19950619,0.25,0.25,0.25,1330041.27,1330041.27,1330041.27,1330041.27
11AM (Animal Crossing_ New Leaf).json,150,150,150,150,0.5,0.5,0.5,5.0,5.0,5.0,5.0
12 German Dances WoO8 No.9.json,140,140,144,148,0.5,0.5,0.5,4.67,4.8,4.93,4.8
12 Germany Dances WoO 8 No.1.json,480,480,480,480,1.5,1.5,1.5,5.33,5.33,5.33,5.33
12 Germany Dances WoO 8 No.2.json,540,540,540,540,1.5,1.5,1.5,6.0,6.0,6.0,6.0
12 Germany Dances WoO 8 No.3.json,576,576,576,576,1.5,1.5,1.5,6.4,6.4,6.4,6.4
12 Germany Dances WoO 8 No.4.json,600,600,600,600,1.5,1.5,1.5,6.67,6.67,6.67,6.67
12 Germany Dances WoO 8 No.5.json,600,600,600,600,1.5,1.5,1.5,6.67,6.67,6.67,6.67
12 Germany Dances WoO 8 No.6.json,600,600,600,600,1.5,1.5,1.5,6.67,6.67,6.67,6.67
12 Germany Dances WoO 8 No.7.json,630,630,630,630,1.5,1.5,1.5,7.0,7.0,7.0,7.0
12 Germany Dances WoO 8 No.8.json,600,600,600,600,1.5,1.5,1.5,6.67,6.67,6.67,6.67
12 Germany Dances WoO 8 No.9.json,630,630,630,630,1.5,1.5,1.5,7.0,7.0,7.0,7.0
12 Germany Dances WoO 8 No.10.json,600,600,600,600,1.5,1.5,1.5,6.67,6.67,6.67,6.67
12 Germany Dances WoO 8 No.11.json,660,660,660,660,1.5,1.5,1.5,7.33,7.33,7.33,7.33
12 Germany Dances WoO 8 No.12.json,660,660,660,660,1.5,1.5,1.5,7.33,7.33,7.33,7.33
12 Germany Dances WoO 13 No.1.json,660,660,660,660,1.5,1.5,1.5,7.33,7.33,7.33,7.33
12 Germany Dances WoO 13 No.2.json,696,696,696,696,1.5,1.5,1.5,7.73,7.73,7.73,7.73
12 Germany Dances WoO 13 No.3.json,690,690,690,690,1.5,1.5,1.5,7.67,7.67,7.67,7.67
12 Germany Dances WoO 13 No.4.json,690,690,690,690,1.5,1.5,1.5,7.67,7.67,7.67,7.67
12 Germany Dances WoO 13 No.5.json,660,660,660,660,1.5,1.5,1.5,7.33,7.33,7.33,7.33
12 Germany Dances WoO 13 No.6.json,720,720,720,720,1.5,1.5,1.5,8.0,8.0,8.0,8.0
12 Germany Dances WoO 13 No.7.json,660,660,660,660,1.5,1.5,1.5,7.33,7.33,7.33,7.33
12 Germany Dances WoO 13 No.8.json,690,690,690,690,1.5,1.5,1.5,7.67,7.67,7.67,7.67
12 Germany Dances WoO 13 No.9.json,720,720,720,720,1.5,1.5,1.5,8.0,8.0,8.0,8.0
12 Germany Dances WoO 13 No.10.json,720,720,720,720,1.5,1.5,1.5,8.0,8.0,8.0,8.0
12 Germany Dances WoO 13 No.11.json,660,660,660,660,1.5,1.5,1.5,7.33,7.33,7.33,7.33
12 Germany Dances WoO 13 No.12.json,720,720,720,720,1.5,1.5,1.5,8.0,8.0,8.0,8.0
12 Minuets WoO 7 No.1.json,384,384,384,384,0.75,0.75,0.75,8.53,8.53,8.53,8.53
12 Minuets WoO 7 No.2.json,384,384,384,384,0.75,0.75,0.75,8.53,8.53,8.53,8.53
12 Minuets WoO 7 No.3.json,384,384,384,384,0.75,0.75,0.75,8.53,8.53,8.53,8.53
12 Minuets WoO 7 No.4.json,384,384,384,384,0.75,0.75,0.75,8.53,8.53,8.53,8.53
12 Minuets WoO 7 No.5.json,384,384,384,384,0.75,0.75,0.75,8.53,8.53,8.53,8.53
12 Minuets WoO 7 No.6.json,384,384,384,384,0.75,0.75,0.75,8.53,8.53,8.53,8.53
12 Minuets WoO 7 No.7.json,360,360,360,360,0.75,0.75,0.75,8.0,8.0,8.0,8.0
12 Minuets WoO 7 No.8.json,372,372,372,372,0.75,0.75,0.75,8.27,8.27,8.27,8.27
12 Minuets WoO 7 No.9.json,384,384,384,384,0.75,0.75,0.75,8.53,8.53,8.53,8.53
12 Minuets WoO 7 No.10.json,372,372,372,372,0.75,0.75,0.75,8.27,8.27,8.27,8.27
12 Minuets WoO 7 No.11.json,384,384,384,384,0.75,0.75,0.75,8.53,8.53,8.53,8.53
12 Minuets WoO 7 No.12.json,384,384,384,384,0.75,0.75,0.75,8.53,8.53,8.53,8.53
12 TPS Double Tiles.json,83,83,78,78,0.25,0.25,0.25,5.53,5.2,5.2,5.31
12 TPS Endure.json,40,40,40,40,0.25,0.25,0.25,2.67,2.67,2.67,2.67
12 TPS Single Tiles.json,86,86,86,86,0.5,0.5,0.5,2.87,2.87,2.87,2.87
12 TPS Strange Sound 6.json,120,120,120,120,0.25,0.25,0.25,8.0,8.0,8.0,8.0
12 Variations on Ein Mädchen oder Weibchen Op.66.json,481.5,481.5,481.5,481.5,0.75,0.75,0.75,10.7,10.7,10.7,10.7
12-13-14 TPS The Easy Winners.json,78,78,78,78,0.25,0.25,0.25,5.2,5.2,5.2,5.2
13 Pieces Op.76 No.2 (Etude).json,120,120,120,120,0.25,0.25,0.25,8.0,8.0,8.0,8.0
13 Pieces Op.76 No.4 (Humoresque).json,83,83,83,83,0.25,0.25,0.25,5.53,5.53,5.53,5.53
14 TPS Chorekee.json,165,165,165,165,0.25,0.25,0.25,11.0,11.0,11.0,11.0
14 TPS Double Tiles.json,83,83,78,78,0.25,0.25,0.25,5.53,5.2,5.2,5.31
14 TPS Happy Tiles.json,90,90,95,100,0.5,0.5,0.5,3.0,3.17,3.33,3.17
14-14-15 TPS Strange Sound 5.json,90,90,95,100,0.5,0.5,0.5,3.0,3.17,3.33,3.17
15 TPS Deck The Halls.json,120,120,120,120,0.25,0.25,0.25,8.0,8.0,8.0,8.0
15-16.5-18 TPS Cancan Secret song.json,105,105,105,105,0.25,0.25,0.25,7.0,7.0,7.0,7.0
16 TPS Double Tiles.json,83,83,78,78,0.25,0.25,0.25,5.53,5.2,5.2,5.31
17 Polish Songs Op.74 No.2 (Wiosna).json,45,45,45,45,0.25,0.25,0.25,3.0,3.0,3.0,3.0
17 Polish Songs Op.74 No.3 (Smutna Rzeka).json,96,96,96,96,0.75,0.75,0.75,2.13,2.13,2.13,2.13
17 Polish Songs Op.74 No.4 (Hulanka).json,189,189,189,189,0.25,0.25,0.25,12.6,12.6,12.6,12.6
17 Polish Songs Op.74 No.5 (Gdzie lubi).json,162,162,162,162,0.75,0.75,0.75,3.6,3.6,3.6,3.6
17 Polish Songs Op.74 No.6 (Precz z moich oczu).json,72,72,72,72,0.25,0.25,0.25,4.8,4.8,4.8,4.8
17 Polish Songs Op.74 No.7 (Poseł).json,50,50,50,50,0.25,0.25,0.25,3.33,3.33,3.33,3.33
17 Polish Songs Op.74 No.9 (Melodia).json,138,138,138,138,0.75,0.75,0.75,3.07,3.07,3.07,3.07
17 Polish Songs Op.74 No.10 (Wojak).json,210,210,210,210,0.5,0.5,0.5,7.0,7.0,7.0,7.0
17 Polish Songs Op.74 No.11 (Dwojaki koniec).json,50,50,50,50,0.25,0.25,0.25,3.33,3.33,3.33,3.33
17 Polish Songs Op.74 No.12 (Moja pieszczotka).json,210,210,210,210,0.75,0.75,0.75,4.67,4.67,4.67,4.67
17 Polish Songs Op.74 No.13 (Nie ma czego trzeba).json,30,30,30,30,0.25,0.25,0.25,2.0,2.0,2.0,2.0
17 Polish Songs Op.74 No.15 (Narzeczony).json,160,160,160,160,0.25,0.25,0.25,10.67,10.67,10.67,10.67
17 Polish Songs Op.74 No.16 (Piosnka litewska).json,264,264,264,264,0.75,0.75,0.75,5.87,5.87,5.87,5.87
18 TPS Double Tiles.json,83,83,78,78,0.25,0.25,0.25,5.53,5.2,5.2,5.31
20 TH Century Fox.json,100,100,100,100,0.25,0.25,0.25,6.67,6.67,6.67,6.67
20 TPS Double Tiles.json,83,83,78,78,0.25,0.25,0.25,5.53,5.2,5.2,5.31
20th Century Fox - Theme.json,100,100,100,100,0.25,0.25,0.25,6.67,6.67,6.67,6.67
20th Century Fox Intro.json,112,77,77,77,0.25,0.25,0.25,5.13,5.13,5.13,5.13
20th Century Fox.json,75,75,75,75,0.25,0.25,0.25,5.0,5.0,5.0,5.0
25.json,150,150,152,154,1,1,1,2.5,2.53,2.57,2.53
26.json,57,57,57,57,0.25,0.25,0.25,3.8,3.8,3.8,3.8
27.json,150,150,152,154,1,1,1,2.5,2.53,2.57,2.53
27K Doubles.json,120,120,120,120,0.25,0.25,0.25,8.0,8.0,8.0,8.0
28 Reasons.json,121,121,121,121,0.25,0.25,0.25,8.07,8.07,8.07,8.07
28.json,150,150,152,154,1,1,1,2.5,2.53,2.57,2.53
30 TPS Double Tiles No.1.json,35,500,35,35,0.25,0.25,0.25,33.33,2.33,2.33,12.66
30 TPS Double Tiles No.2.json,120,120,120,120,0.25,0.25,0.25,8.0,8.0,8.0,8.0
30 TPS SLIDERS TILES.json,70,70,70,70,0.25,0.25,0.25,4.67,4.67,4.67,4.67
30.json,150,150,152,154,0.25,0.25,0.25,10.0,10.13,10.27,10.13
50 TPS but its playable with almost 10 TPS on 0.0625 basebeats.json,148,148,148,148,0.0625,0.0625,0.0625,39.47,39.47,39.47,39.47
50 TPS but its playable with almost 10 TPS.json,148,148,148,148,0.25,0.25,0.25,9.87,9.87,9.87,9.87
50 TPS but its playable with almost 10 TPSsa.json,148,148,148,148,0.25,0.25,0.25,9.87,9.87,9.87,9.87
50 TPS Song.json,750,750,750,750,0.25,0.25,0.25,50.0,50.0,50.0,50.0
70 Notes.json,60,60,60,60,0.125,0.125,0.125,8.0,8.0,8.0,8.0
90 TPS Double Tiles.json,35,35,35,35,0.25,0.25,0.25,2.33,2.33,2.33,2.33
100 000 NOTES.json,80,80,187.5,187.5,0.25,0.25,0.25,5.33,12.5,12.5,10.11
100 000 TPS.json,35,35,35,35,0.25,0.25,0.25,2.33,2.33,2.33,2.33
100 TPS DDU-DU DDU-DU (Another ver.).json,19950619,19950619,19950619,19950619,0.5,0.5,0.5,665020.63,665020.63,665020.63,665020.63
100 TPS Happy Tiles No.2.json,60,60,60,60,0.25,0.25,0.25,4.0,4.0,4.0,4.0
100 TPS Happy Tiles.json,90,90,95,100,0.5,0.5,0.5,3.0,3.17,3.33,3.17
100 TPS Na tane to 21.json,113,113,115,117,0.5,0.5,0.5,3.77,3.83,3.9,3.83
100 TPS Rush E.json,80,80,80,80,0.25,0.25,0.25,5.33,5.33,5.33,5.33
100 TPS Song but its 12 TPS.json,1500,1500,1500,1500,0.25,0.25,0.25,100.0,100.0,100.0,100.0
100 TPS Song V2.json,1500,1500,1500,1500,0.25,0.25,0.25,100.0,100.0,100.0,100.0
100 TPS Song V3.json,1500,1500,1500,1500,0.25,0.25,0.25,100.0,100.0,100.0,100.0
100 TPS Song.json,1500,1500,1500,1500,0.25,0.25,0.25,100.0,100.0,100.0,100.0
100 Years Long Song.json,1,1,1,1,0.0625,0.0625,0.0625,0.27,0.27,0.27,0.27
100-150-120TPS Piece of Folly No.63.json,90,90,90,90,0.25,0.25,0.25,6.0,6.0,6.0,6.0
100-150-190 TPS Piece of Folly No.84.json,330,330,330,330,0.75,0.75,0.75,7.33,7.33,7.33,7.33
100% Russian 100% Crazy.json,112,160,161,162.5,0.25,0.25,0.25,10.67,10.73,10.83,10.74
100K Notes (But 1star and 2star are playable).json,80,80,187.5,187.5,0.25,0.25,0.25,5.33,12.5,12.5,10.11
128.2 TPS Glitched Death Sound.json,360,360,360,360,0.5,0.5,0.5,12.0,12.0,12.0,12.0
150 TPS Sunny Afternoon.json,19960903,19960903,19960903,19960903,0.25,0.25,0.25,1330726.87,1330726.87,1330726.87,1330726.87
