,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
60,6.62 TPS (6.13 / 6.87 / 6.87),6.62 TPS (6.13 / 6.87 / 6.87),,,,,,,,,,,,,,,,,,,,,,,,,
61,2 Phut Hon (Creepy ver.),2 Phut Hon (Creepy ver.),,,,,,,,,,,,,,,,,,,,,,,,,
62,9.73 TPS (9.73 / 9.73 / 9.73),9.73 TPS (9.73 / 9.73 / 9.73),,,,,,,,,,,,,,,,,,,,,,,,,
63,2 Phut Hon (Special Ver.),2 Phut Hon (Special Ver.),,,,,,,,,,,,,,,,,,,,,,,,,
64,12.98 TPS (12.98 / 12.98 / 12.98),12.98 TPS (12.98 / 12.98 / 12.98),,,,,,,,,,,,,,,,,,,,,,,,,
65,2 Phút Hon,2 Phút Hon,,,,,,,,,,,,,,,,,,,,,,,,,
66,9.73 TPS (9.73 / 9.73 / 9.73),9.73 TPS (9.73 / 9.73 / 9.73),,,,,,,,,,,,,,,,,,,,,,,,,
67,2 Polish Songs B.51 (Czary),2 Polish Songs B.51 (Czary),,,,,,,,,,,,,,,,,,,,,,,,,
68,4.2 TPS (4.2 / 4.2 / 4.2),4.2 TPS (4.2 / 4.2 / 4.2),,,,,,,,,,,,,,,,,,,,,,,,,
69,2 Polish Songs B.131 (Rêverie - Dumka),2 Polish Songs B.131 (Rêverie - Dumka),,,,,,,,,,,,,,,,,,,,,,,,,
70,1.67 TPS (1.67 / 1.67 / 1.67),1.67 TPS (1.67 / 1.67 / 1.67),,,,,,,,,,,,,,,,,,,,,,,,,
71,2 Preludes Op.39 No.1,2 Preludes Op.39 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
72,6.0 TPS (6.0 / 6.0 / 6.0),6.0 TPS (6.0 / 6.0 / 6.0),,,,,,,,,,,,,,,,,,,,,,,,,
73,2 Preludes Op.39 No.2,2 Preludes Op.39 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
74,6.0 TPS (6.0 / 6.0 / 6.0),6.0 TPS (6.0 / 6.0 / 6.0),,,,,,,,,,,,,,,,,,,,,,,,,
75,2 Rondos Op.51 No.1,2 Rondos Op.51 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
76,6.67 TPS (6.67 / 6.67 / 6.67),6.67 TPS (6.67 / 6.67 / 6.67),,,,,,,,,,,,,,,,,,,,,,,,,
77,2 Rondos Op.51 No.2,2 Rondos Op.51 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
78,8.64 TPS (8.64 / 8.64 / 8.64),8.64 TPS (8.64 / 8.64 / 8.64),,,,,,,,,,,,,,,,,,,,,,,,,
79,2AM (Animal Crossing_ New Horizons),2AM (Animal Crossing_ New Horizons),,,,,,,,,,,,,,,,,,,,,,,,,
80,2.27 TPS (2.27 / 2.27 / 2.27),2.27 TPS (2.27 / 2.27 / 2.27),,,,,,,,,,,,,,,,,,,,,,,,,
81,3 Concert Etudes S.144 No.1 (Il Lamento),3 Concert Etudes S.144 No.1 (Il Lamento),,,,,,,,,,,,,,,,,,,,,,,,,
82,10.67 TPS (10.67 / 10.67 / 10.67),10.67 TPS (10.67 / 10.67 / 10.67),,,,,,,,,,,,,,,,,,,,,,,,,
83,3 Concert Etudes S.144 No.2 (La Leggierezza),3 Concert Etudes S.144 No.2 (La Leggierezza),,,,,,,,,,,,,,,,,,,,,,,,,
84,9.0 TPS (9.0 / 9.0 / 9.0),9.0 TPS (9.0 / 9.0 / 9.0),,,,,,,,,,,,,,,,,,,,,,,,,
85,3 Concert Etudes S.144 No.3 (Un Sospiro),3 Concert Etudes S.144 No.3 (Un Sospiro),,,,,,,,,,,,,,,,,,,,,,,,,
86,8.8 TPS (8.6 / 8.8 / 9.0),8.8 TPS (8.6 / 8.8 / 9.0),,,,,,,,,,,,,,,,,,,,,,,,,
87,3 Ecossaises No.1 Op.72-3,3 Ecossaises No.1 Op.72-3,,,,,,,,,,,,,,,,,,,,,,,,,
88,10.0 TPS (10.0 / 10.0 / 10.0),10.0 TPS (10.0 / 10.0 / 10.0),,,,,,,,,,,,,,,,,,,,,,,,,
89,3 Ecossaises No.2 Op.72-3,3 Ecossaises No.2 Op.72-3,,,,,,,,,,,,,,,,,,,,,,,,,
90,10.0 TPS (10.0 / 10.0 / 10.0),10.0 TPS (10.0 / 10.0 / 10.0),,,,,,,,,,,,,,,,,,,,,,,,,
91,3 Ecossaises No.3 Op.72-3 (Another Ver.),3 Ecossaises No.3 Op.72-3 (Another Ver.),,,,,,,,,,,,,,,,,,,,,,,,,
92,15.29 TPS (15.29 / 15.29 / 15.29),15.29 TPS (15.29 / 15.29 / 15.29),,,,,,,,,,,,,,,,,,,,,,,,,
93,3 Ecossaises No.3 Op.72-3,3 Ecossaises No.3 Op.72-3,,,,,,,,,,,,,,,,,,,,,,,,,
94,11.47 TPS (11.47 / 11.47 / 11.47),11.47 TPS (11.47 / 11.47 / 11.47),,,,,,,,,,,,,,,,,,,,,,,,,
95,3 Ecossaises Op.72 No.3,3 Ecossaises Op.72 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
96,8.27 TPS (8.0 / 8.27 / 8.53),8.27 TPS (8.0 / 8.27 / 8.53),,,,,,,,,,,,,,,,,,,,,,,,,
97,3 Poetic Polkas Op.8 No.1,3 Poetic Polkas Op.8 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
98,4.07 TPS (4.0 / 4.07 / 4.13),4.07 TPS (4.0 / 4.07 / 4.13),,,,,,,,,,,,,,,,,,,,,,,,,
99,3 Polkas de salon Op.7 No.3,3 Polkas de salon Op.7 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
100,4.13 TPS (4.0 / 4.13 / 4.27),4.13 TPS (4.0 / 4.13 / 4.27),,,,,,,,,,,,,,,,,,,,,,,,,
101,3DS Music Park,3DS Music Park,,,,,,,,,,,,,,,,,,,,,,,,,
102,4.53 TPS (4.53 / 4.53 / 4.53),4.53 TPS (4.53 / 4.53 / 4.53),,,,,,,,,,,,,,,,,,,,,,,,,
103,3rd Eye,3rd Eye,,,,,,,,,,,,,,,,,,,,,,,,,
104,5.09 TPS (5.0 / 5.13 / 5.13),5.09 TPS (5.0 / 5.13 / 5.13),,,,,,,,,,,,,,,,,,,,,,,,,
105,4.5 TPS Le Vent Le Cri,4.5 TPS Le Vent Le Cri,,,,,,,,,,,,,,,,,,,,,,,,,
106,7.73 TPS (7.73 / 7.73 / 7.73),7.73 TPS (7.73 / 7.73 / 7.73),,,,,,,,,,,,,,,,,,,,,,,,,
107,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
108,10.67 TPS (10.67 / 10.67 / 10.67),10.67 TPS (10.67 / 10.67 / 10.67),,,,,,,,,,,,,,,,,,,,,,,,,
109,5AM (Animal Crossing_ New Horizons),5AM (Animal Crossing_ New Horizons),,,,,,,,,,,,,,,,,,,,,,,,,
110,2.33 TPS (2.33 / 2.33 / 2.33),2.33 TPS (2.33 / 2.33 / 2.33),,,,,,,,,,,,,,,,,,,,,,,,,
111,6 Bagatelles Op.126 No.1,6 Bagatelles Op.126 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
112,5.33 TPS (5.33 / 5.33 / 5.33),5.33 TPS (5.33 / 5.33 / 5.33),,,,,,,,,,,,,,,,,,,,,,,,,
113,6 Bagatelles Op.126 No.2,6 Bagatelles Op.126 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
114,8.67 TPS (8.67 / 8.67 / 8.67),8.67 TPS (8.67 / 8.67 / 8.67),,,,,,,,,,,,,,,,,,,,,,,,,
115,6 Bagatelles Op.126 No.3,6 Bagatelles Op.126 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
116,2.67 TPS (2.67 / 2.67 / 2.67),2.67 TPS (2.67 / 2.67 / 2.67),,,,,,,,,,,,,,,,,,,,,,,,,
117,6 Bagatelles Op.126 No.4,6 Bagatelles Op.126 No.4,,,,,,,,,,,,,,,,,,,,,,,,,
118,10.8 TPS (10.8 / 10.8 / 10.8),10.8 TPS (10.8 / 10.8 / 10.8),,,,,,,,,,,,,,,,,,,,,,,,,
119,6 Bagatelles Op.126 No.5,6 Bagatelles Op.126 No.5,,,,,,,,,,,,,,,,,,,,,,,,,
120,7.2 TPS (7.2 / 7.2 / 7.2),7.2 TPS (7.2 / 7.2 / 7.2),,,,,,,,,,,,,,,,,,,,,,,,,
121,6 Bagatelles Op.126 No.6,6 Bagatelles Op.126 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
122,12.0 TPS (12.0 / 12.0 / 12.0),12.0 TPS (12.0 / 12.0 / 12.0),,,,,,,,,,,,,,,,,,,,,,,,,
123,6 Ecossaises WoO 83,6 Ecossaises WoO 83,,,,,,,,,,,,,,,,,,,,,,,,,
124,4.93 TPS (4.67 / 4.93 / 5.2),4.93 TPS (4.67 / 4.93 / 5.2),,,,,,,,,,,,,,,,,,,,,,,,,
125,6 Landlers WoO 15 Coda,6 Landlers WoO 15 Coda,,,,,,,,,,,,,,,,,,,,,,,,,
126,9.0 TPS (9.0 / 9.0 / 9.0),9.0 TPS (9.0 / 9.0 / 9.0),,,,,,,,,,,,,,,,,,,,,,,,,
127,6 Landlers WoO 15 No.1,6 Landlers WoO 15 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
128,9.0 TPS (9.0 / 9.0 / 9.0),9.0 TPS (9.0 / 9.0 / 9.0),,,,,,,,,,,,,,,,,,,,,,,,,
129,6 Landlers WoO 15 No.2,6 Landlers WoO 15 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
130,9.0 TPS (9.0 / 9.0 / 9.0),9.0 TPS (9.0 / 9.0 / 9.0),,,,,,,,,,,,,,,,,,,,,,,,,
131,6 Landlers WoO 15 No.3,6 Landlers WoO 15 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
132,9.0 TPS (9.0 / 9.0 / 9.0),9.0 TPS (9.0 / 9.0 / 9.0),,,,,,,,,,,,,,,,,,,,,,,,,
133,6 Landlers WoO 15 No.4,6 Landlers WoO 15 No.4,,,,,,,,,,,,,,,,,,,,,,,,,
134,9.0 TPS (9.0 / 9.0 / 9.0),9.0 TPS (9.0 / 9.0 / 9.0),,,,,,,,,,,,,,,,,,,,,,,,,
135,6 Landlers WoO 15 No.5,6 Landlers WoO 15 No.5,,,,,,,,,,,,,,,,,,,,,,,,,
136,9.0 TPS (9.0 / 9.0 / 9.0),9.0 TPS (9.0 / 9.0 / 9.0),,,,,,,,,,,,,,,,,,,,,,,,,
137,6 Landlers WoO 15 No.6,6 Landlers WoO 15 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
138,9.0 TPS (9.0 / 9.0 / 9.0),9.0 TPS (9.0 / 9.0 / 9.0),,,,,,,,,,,,,,,,,,,,,,,,,
139,6 Minuets WoO 10 No.1,6 Minuets WoO 10 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
140,8.53 TPS (8.53 / 8.53 / 8.53),8.53 TPS (8.53 / 8.53 / 8.53),,,,,,,,,,,,,,,,,,,,,,,,,
141,6 Minuets WoO 10 No.2,6 Minuets WoO 10 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
142,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
143,6 Minuets WoO 10 No.3,6 Minuets WoO 10 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
144,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
145,6 Minuets WoO 10 No.4,6 Minuets WoO 10 No.4,,,,,,,,,,,,,,,,,,,,,,,,,
146,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
147,6 Minuets WoO 10 No.5,6 Minuets WoO 10 No.5,,,,,,,,,,,,,,,,,,,,,,,,,
148,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
149,6 Minuets WoO 10 No.6,6 Minuets WoO 10 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
150,8.27 TPS (8.27 / 8.27 / 8.27),8.27 TPS (8.27 / 8.27 / 8.27),,,,,,,,,,,,,,,,,,,,,,,,,
151,6 Moments musicaux. D 780. Op.94 No.1,6 Moments musicaux. D 780. Op.94 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
152,7.4 TPS (7.4 / 7.4 / 7.4),7.4 TPS (7.4 / 7.4 / 7.4),,,,,,,,,,,,,,,,,,,,,,,,,
153,6 Moments musicaux. D 780. Op.94 No.2,6 Moments musicaux. D 780. Op.94 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
154,4.93 TPS (4.93 / 4.93 / 4.93),4.93 TPS (4.93 / 4.93 / 4.93),,,,,,,,,,,,,,,,,,,,,,,,,
155,6 Moments musicaux. D 780. Op.94 No.3,6 Moments musicaux. D 780. Op.94 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
156,6.67 TPS (6.67 / 6.67 / 6.67),6.67 TPS (6.67 / 6.67 / 6.67),,,,,,,,,,,,,,,,,,,,,,,,,
157,6 Moments musicaux. D 780. Op.94 No.4,6 Moments musicaux. D 780. Op.94 No.4,,,,,,,,,,,,,,,,,,,,,,,,,
158,6.8 TPS (6.8 / 6.8 / 6.8),6.8 TPS (6.8 / 6.8 / 6.8),,,,,,,,,,,,,,,,,,,,,,,,,
159,6 Moments musicaux. D 780. Op.94 No.5,6 Moments musicaux. D 780. Op.94 No.5,,,,,,,,,,,,,,,,,,,,,,,,,
160,7.53 TPS (7.53 / 7.53 / 7.53),7.53 TPS (7.53 / 7.53 / 7.53),,,,,,,,,,,,,,,,,,,,,,,,,
161,6 Moments musicaux. D 780. Op.94 No.6,6 Moments musicaux. D 780. Op.94 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
162,8.67 TPS (8.67 / 8.67 / 8.67),8.67 TPS (8.67 / 8.67 / 8.67),,,,,,,,,,,,,,,,,,,,,,,,,
163,6 Polish Songs after Chopin S.480 No.6 (Narzeczony),6 Polish Songs after Chopin S.480 No.6 (Narzeczony),,,,,,,,,,,,,,,,,,,,,,,,,
164,9.0 TPS (9.0 / 9.0 / 9.0),9.0 TPS (9.0 / 9.0 / 9.0),,,,,,,,,,,,,,,,,,,,,,,,,
165,6 Variations on an Original Theme Op.34,6 Variations on an Original Theme Op.34,,,,,,,,,,,,,,,,,,,,,,,,,
166,11.2 TPS (11.2 / 11.2 / 11.2),11.2 TPS (11.2 / 11.2 / 11.2),,,,,,,,,,,,,,,,,,,,,,,,,
167,6 Variations on an Original Theme Op.76,6 Variations on an Original Theme Op.76,,,,,,,,,,,,,,,,,,,,,,,,,
168,10.0 TPS (10.0 / 10.0 / 10.0),10.0 TPS (10.0 / 10.0 / 10.0),,,,,,,,,,,,,,,,,,,,,,,,,
169,6PM (Animal Crossing_ New Leaf),6PM (Animal Crossing_ New Leaf),,,,,,,,,,,,,,,,,,,,,,,,,
170,2.67 TPS (2.67 / 2.67 / 2.67),2.67 TPS (2.67 / 2.67 / 2.67),,,,,,,,,,,,,,,,,,,,,,,,,
171,7 Bagatelles Op.33 No.1,7 Bagatelles Op.33 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
172,6.0 TPS (6.0 / 6.0 / 6.0),6.0 TPS (6.0 / 6.0 / 6.0),,,,,,,,,,,,,,,,,,,,,,,,,
173,7 Bagatelles Op.33 No.2,7 Bagatelles Op.33 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
174,12.0 TPS (12.0 / 12.0 / 12.0),12.0 TPS (12.0 / 12.0 / 12.0),,,,,,,,,,,,,,,,,,,,,,,,,
175,7 Bagatelles Op.33 No.3,7 Bagatelles Op.33 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
176,8.67 TPS (8.67 / 8.67 / 8.67),8.67 TPS (8.67 / 8.67 / 8.67),,,,,,,,,,,,,,,,,,,,,,,,,
177,7 Bagatelles Op.33 No.4,7 Bagatelles Op.33 No.4,,,,,,,,,,,,,,,,,,,,,,,,,
178,4.8 TPS (4.8 / 4.8 / 4.8),4.8 TPS (4.8 / 4.8 / 4.8),,,,,,,,,,,,,,,,,,,,,,,,,
179,7 Bagatelles Op.33 No.5,7 Bagatelles Op.33 No.5,,,,,,,,,,,,,,,,,,,,,,,,,
180,12.0 TPS (12.0 / 12.0 / 12.0),12.0 TPS (12.0 / 12.0 / 12.0),,,,,,,,,,,,,,,,,,,,,,,,,
181,7 Bagatelles Op.33 No.6,7 Bagatelles Op.33 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
182,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
183,7 Bagatelles Op.33 No.7,7 Bagatelles Op.33 No.7,,,,,,,,,,,,,,,,,,,,,,,,,
184,10.8 TPS (10.8 / 10.8 / 10.8),10.8 TPS (10.8 / 10.8 / 10.8),,,,,,,,,,,,,,,,,,,,,,,,,
185,7 Contredanses WoO 14 No.1,7 Contredanses WoO 14 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
186,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
187,7 Contredanses WoO 14 No.2,7 Contredanses WoO 14 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
188,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
189,7 Contredanses WoO 14 No.3,7 Contredanses WoO 14 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
190,8.27 TPS (8.27 / 8.27 / 8.27),8.27 TPS (8.27 / 8.27 / 8.27),,,,,,,,,,,,,,,,,,,,,,,,,
191,7 Contredanses WoO 14 No.4,7 Contredanses WoO 14 No.4,,,,,,,,,,,,,,,,,,,,,,,,,
192,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
193,7 Contredanses WoO 14 No.5,7 Contredanses WoO 14 No.5,,,,,,,,,,,,,,,,,,,,,,,,,
194,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
195,7 Contredanses WoO 14 No.6,7 Contredanses WoO 14 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
196,8.8 TPS (8.8 / 8.8 / 8.8),8.8 TPS (8.8 / 8.8 / 8.8),,,,,,,,,,,,,,,,,,,,,,,,,
197,7 Contredanses WoO 14 No.7,7 Contredanses WoO 14 No.7,,,,,,,,,,,,,,,,,,,,,,,,,
198,8.27 TPS (8.27 / 8.27 / 8.27),8.27 TPS (8.27 / 8.27 / 8.27),,,,,,,,,,,,,,,,,,,,,,,,,
199,7 Landler WoO 11 No.2,7 Landler WoO 11 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
200,5.8 TPS (5.67 / 5.8 / 5.93),5.8 TPS (5.67 / 5.8 / 5.93),,,,,,,,,,,,,,,,,,,,,,,,,
201,7 Landler WoO 11 No.6,7 Landler WoO 11 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
